都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
北海道,札幌市,砂防計画,"撮影,図化","8000,,1000","16.3KM2,2.4KM2",石狩川開発建設部札幌河川事務所,三和航測,"57.10.23,57.12.21",896
北海道,苫小牧市,道路台帳,"撮影,図化","8000,,1000","562.1KM2,0.4KM2",苫小牧市,パシフイック航業,"57.9.30,60.9.30",887
北海道,恵庭市,河川砂防工事,"撮影,撮影,図化","8000,,20000,,1000","7.0KM2,35.9KM2,2.5KM2",恵庭市,ロイヤル測量設計,"57.8.25,57.12.25",578
北海道,江差町,道路台帳,"撮影,図化","8000,,1000","121.8KM2,10.0KM2",江差町,東洋航空事業,"57.3.15,57.11.30",3
北海道,木古内町,道路台帳,"撮影,図化","8000,,1000","146.0KM2,6.2KM2",木古内町,北海航測,"57.6.4,58.3.31",287
北海道,小清水町,道路台帳,"撮影,図化","8000,,1000","160.0KM2,20.2KM2",小清水町,極東陸地測量,"57.5.25,58.3.31",160
北海道,瀬棚町,道路台帳,"撮影,図化","8000,,1000","62.7KM2,3.8KM2",瀬棚町,パシフイック航業,"57.5.30,57.9.30",164
北海道,標津町,道路台帳,"撮影,図化","8000,,1000","320.0KM2,28.2KM2",標津町,東邦測量,"57.7.10,58.3.20",427
北海道,釧路町,都市計画,"撮影,撮影,図化,図化","10000,,12500,,2500,,10000","50.0KM2,360.0KM2,19.7KM2,170.0KM2",釧路町,東邦・パシフイック共同企業体,"57.6.10,57.10.30",159
北海道,鶴居村,道路計画,"撮影,図化","12500,,2500","31.3KM2,2.5KM2",釧路開発建設部,パシフイック航業,"57.8.27,58.1.31",579
北海道,幌加内町,道路計画,"撮影,図化","12500,,2500","30.0KM2,10.0KM2",札幌開発建設部,八州,"57.6.4,57.11.30",162
北海道,清水町,道路計画,"撮影,図化","12500,,2500","31.4KM2,5.1KM2",帯広開発建設部,シン航空写真,"57.11.6,58.2.25",926
北海道,"北見市,常呂町,網走市",河川改修,"撮影,撮影,図化","12500,,25000,,2500","411.0KM2,158.7KM2,9.9KM2",網走開発建設部,三和航測,"57.7.10,57.12.16",431
北海道,蘭越町,河川改修,"撮影,図化","12500,,2500","71.0KM2,16.0KM2",小樽開発建設部,東日本航空,"57.6.11,57.10.30",283
北海道,,河川計画,"撮影,図化","12500,,2500","244.2KM2,49.4KM2",石狩川開発建設部,シン航空写真,"57.6.12,57.11.30",288
北海道,大野町,都市計画,"撮影,撮影,図化,図化","12500,,30000,,2500,,10000","61.1KM2,73.4KM2,13.4KM2,32.0KM2",大野町,パシフイック航業,"57.4.1,57.7.20",1
北海道,網走市,農地開発,"撮影,図化","20000,,5000","86.3KM2,2.0KM2",網走開発建設部,東洋航空事業,"57.5.27,57.7.29",278
北海道,池田町,農業排水事業,"撮影,図化","20000,,5000","42.3KM2,7.6KM2",十勝支庁,シン航空写真,"57.11.26,58.2.28",1081
北海道,"夕張市,由仁町,富良野市",発電計画,"撮影,図化","20000,,5000","213.0KM2,19.0KM2",北海道企業局,北電興業,"57.8.27,58.3.22",1080
北海道,"上士幌町,士幌町,鹿追町,新得町",農地開発,"撮影,図化","25000,,5000","391.0KM2,5.0KM2",帯広開発建設部,日本測量,"57.10.20,57.12.18",893
北海道,浦幌町,農地開発,"撮影,図化","25000,,5000","148.0KM2,10.0KM2",帯広開発建設部,三和航測,"57.10.6,57.12.10",886
北海道,"名寄市,美深町",道路計画,図化,1000,0.6KM2,旭川開発建設部,八州,"57.10.13,58.1.28",
北海道,鶴居村,道路計画,図化,1000,0.5KM2,釧路開発建設部,パシフイック航業,"57.8.27,58.1.31",
北海道,羽幌町,道路計画,図化,1000,0.5KM2,留萠開発建設部,パシフイック航業,"57.6.30,57.9.30",
北海道,幌加内町,農地開発,図化,1000,7.2KM2,札幌開発建設部,東洋航空事業,"57.5.1,57.9.20",
北海道,苫前町,道路計画,図化,2500,2.9KM2,留萌開発建設部,パシフイック航業,"57.6.30,57.9.30",
北海道,"訓子府町,置戸町",河川計画,図化,2500,34.5KM2,網走開発建設部,日本測量,"57.9.11,58.2.7",695
北海道,,河川改修,"図化,編集","2500,,10000","23.8KM2,23.8KM2",旭川開発建設部,日本測量,"57.5.21,57.10.31",
北海道,札幌市,都市計画,図化,2500,353.0KM2,札幌市,国際・東日本・和光・北海共同企業体他1社,"57.7.15,58.3.20",426
北海道,釧路町,農地開発,図化,5000,27.0KM2,釧路開発建設部,東洋航空事業,"57.5.10,57.7.20",119
北海道,豊富町,農地開発,図化,5000,15.3KM2,稚内開発建設部,北海航測,"57.6.13,57.8.26",289
北海道,"倶知安町,京極町",農用地調査,図化,5000,9.3KM2,小樽開発建設部,日本測量,"57.7.23,57.11.20",574
北海道,松前町,草地開発,図化,5000,6.0KM2,北海道農務部,ロイヤル測量,"57.7.5,57.10.30",291
北海道,伊達市,土地区画整理,平板,500,0.7KM2,伊達市,昭和測量工業,"57.8.1,57.12.30",
青森県,岩崎村,地籍,基準点,1級,3point,青森県,朝日測量,"57.11.1,58.3.20",
青森県,青森市,地盤沈下,"水準,水準","1級,,2級","3.0km,12.0km",青森県,東北測量,"57.5.20,57.6.20",45
青森県,青森市,地盤沈下,"水準,水準","1級,,2級","40.0km,50.0km",青森市,東北測量,"57.5.25,57.6.24",48
青森県,八戸市,地盤沈下,水準,1級,67.5km,八戸市,興和測量,"57.9.20,57.11.30",604
青森県,弘前市,道路台帳,撮影,4000,185.0KM2,弘前市,東北測量,"57.5.17,57.6.15",169
青森県,大鰐町,農業基盤整備,撮影,7000,22.8KM2,東北農政局平川農業水利事業所,アジア航測,"57.10.28,57.11.23",756
青森県県境秋田県県境山形県,"東通村,青森市,県境湯沢市,県境新庄市",森林調査,撮影,16000,4547.0KM2,林野庁,"公共施設地図航空,東北測量,国際航業","57.5.31,57.10.31",214
青森県,岩木町,道路台帳,"撮影,図化","4000,,500","73.5KM2,3.7KM2",岩木町,東北測量,"57.9.20,59.7.31",654
青森県,中里町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","37.4KM2,88.0KM2,4.3KM2,5.0KM2",中里町,パシフイック航業,"57.5.28,58.2.28",166
青森県,浪岡町,農業基盤整備,"撮影,図化","7000,,1000","10.3KM2,0.4KM2",東北農政局浪岡東部台地開拓建設事業所,アジア航測,"57.5.6,57.7.19",53
青森県,上北町,道路台帳,"撮影,図化","8000,,1000","57.0KM2,6.4KM2",上北町,東北測量,"57.4.15,58.8.31",47
青森県,車力村,道路台帳,"撮影,図化","8000,,1000","73.8KM2,5.1KM2",車力村,パシフイック航業,"57.6.5,57.12.25",173
青森県,森田村,道路台帳,"撮影,図化","8000,,1000","44.4KM2,2.5KM2",森田村,パシフイック航業,"58.2.1,58.3.31",1190
青森県,"深浦町,岩崎村",農地開発,"図化,編集","5000,,5000","26.0KM2,134.0KM2",東北農政局津軽総合開発調査事務所,アジア航測,"57.6.11,57.7.22",177
岩手県,釜石市,港湾施工,"基準点,水準","1級,,1級","3point,7.0km",第二港湾建設局宮古港工事事務所,パシフイック航業,"57.6.20,57.7.20",
岩手県,宮古市,港湾施工,"基準点,水準","1級,,1級","4point,8.0km",第二港湾建設局宮古港工事事務所,パシフイック航業,"57.7.6,57.8.31",
岩手県,二戸市,森林調査,撮影,16000,1950.0KM2,岩手県,写測,"57.5.18,57.9.30",88
岩手県,一関市,森林調査,撮影,20000,195.0KM2,岩手県,写測,"57.6.1,57.7.30",171
岩手県,盛岡市,道路台帳,"撮影,図化","4000,,500","17.5KM2,4.1KM2",盛岡市,パシフイック航業,"57.9.1,58.2.28",497
岩手県,陸前高田市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","20.0KM2,172.0KM2,9.7KM2,9.7KM2",陸前高田市,写測,"57.10.21,58.3.31",755
岩手県,九戸村,道路台帳,"撮影,図化","4000,,500","12.0KM2,0.7KM2",九戸村,セントラル航業,"57.10.15,58.2.15",746
岩手県,東和町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","6.5KM2,215.7KM2,1.0KM2,20.1KM2",東和町,国際航業,"58.3.25,60.3.20",1281
岩手県,松尾村,河川計画,"撮影,図化","8000,,1000","21.7KM2,3.6KM2",東北地建岩手工事事務所,東北測量,"57.9.4,58.1.31",940
岩手県,大野村,農地開発,"撮影,撮影,図化,図化","8000,,12500,,1000,,2500","17.4KM2,13.0KM2,5.6KM2,3.8KM2",久慈農林事務所,国際航業,"57.10.10,57.12.20",747
岩手県,野田村,農地開発,"撮影,撮影,図化,図化","8000,,12500,,1000,,2500","9.4KM2,38.5KM2,0.5KM2,5.4KM2",久慈農林事務所,国際航業,"57.11.11,58.1.31",928
岩手県,前沢町,ほ場整備,"撮影,図化","8000,,1000","8.7KM2,3.0KM2",胆江土地改良事務所,パシフイック航業,"57.9.8,57.11.30",626
岩手県,平泉町,道路台帳,"撮影,図化","8000,,1000","98.5KM2,11.0KM2",平泉町,第一航業,"57.8.30,59.3.20",551
岩手県,新里村,道路台帳,"撮影,図化","8000,,1000","139.4KM2,3.6KM2",新里村,国際航業,"57.5.10,58.3.19",122
岩手県,普代村,港湾計画,"撮影,図化","10000,,2000","4.6KM2,0.1KM2",普代村,パシフイック航業,"57.10.18,58.1.31",
岩手県,盛岡市,都市計画,"撮影,図化新規,図化修正","12500,,2500,,2500","414.0KM2,264.0KM2,123.0KM2",岩手県,パシフイック航業,"57.7.1,58.2.28",235
岩手県,山田町,都市計画,"撮影,図化","12500,,2500","25.0KM2,14.8KM2",山田町,写測,"57.4.10,57.7.30",4
岩手県,玉山村,都市計画,"撮影,撮影,図化,図化","12500,,25000,,2500,,10000","23.0KM2,25.0KM2,6.0KM2,9.3KM2",玉山村,アジア航測,"57.7.19,58.3.31",391
岩手県,和賀町,都市計画,"撮影,図化","30000,,10000","357.4KM2,92.0KM2",和賀町,アジア航測,"57.10.30,58.1.20",758
岩手県,水沢市,道路台帳,"図化,図化","500,,1000","9.3KM2,86.3KM2",水沢市,アジア航測,"57.8.28,59.10.31",499
岩手県,盛岡市,ほ場整備,図化,1000,2.1KM2,盛岡市,アジア航測,"57.8.30,57.11.15",
岩手県,,道路台帳,図化,1000,6.0KM2,種市町,パシフイック航業,"57.10.30,58.2.25",
岩手県,大迫町,道路台帳,図化,1000,12.5KM2,大迫町,パシフイック航業,"57.10.30,58.2.25",
岩手県,都南村,ほ場整備,図化,1000,8.6KM2,都南村,アジア航測,"57.8.20,57.12.25",482
岩手県,水沢市,都市計画,図化,2500,66.5KM2,水沢市,アジア航測,"57.8.28,58.2.28",498
岩手県,大船渡市,道路台帳,平板,500,10.4KM2,大船渡市,東栄測量,"57.8.1,62.4.20",
岩手県,盛岡市,用地計画,平板,500,0.1KM2,盛岡市,東日本測量設計,"57.9.1,58.1.31",
岩手県,東和町,土地区画整理,"平板,平板","500,,1000","0.1KM2,0.2KM2",東和町,佐藤測量技術設計,"57.7.20,58.2.10",
岩手県,山田町,土地区画整理,平板,500,0.3KM2,山田町,八州,"57.10.15,57.12.25",
宮城県,富谷町,土地区画整理,基準点,1級,50point,富谷町,パシフイック航業,"58.3.15,58.6.30",
宮城県,"仙台市,塩竈市,多賀城市,名取市,岩沼市,利府町,古川市,気仙沼市,石巻市",地盤沈下,水準,1級,240.0km,宮城県,東日本航空他3社,"57.8.20,58.3.31",481
宮城県,川崎町,道路台帳,撮影,4000,163.0KM2,川崎町,アジア航測,"57.7.10,57.8.30",350
宮城県,登米町,国土利用計画,撮影,8000,76.7KM2,登米町,セントラル航業,"57.9.1,57.10.20",553
宮城県,仙台市,敷地調査,"撮影,図化","4000,,500","7.2KM2,1.7KM2",東北大学,アジア航測,"58.1.12,58.3.20",1110
宮城県,仙台市,都市計画,"撮影,図化","4000,,500","7.7KM2,1.2KM2",仙台市,パシフイック航業,"57.6.11,57.11.15",
宮城県,石巻市,道路台帳,"撮影,撮影,図化","4000,,8000,,500","21.4KM2,108.3KM2,9.0KM2",石巻市,国際航業,"57.6.1,58.3.31",129
宮城県,気仙沼市,道路台帳,"撮影,図化","4000,,500","45.5KM2,0.8KM2",気仙沼市,パシフイック航業,"57.4.1,57.7.20",50
宮城県,古川市,道路台帳,"撮影,図化","4000,,500","138.0KM2,6.0KM2",古川市,協同測量社,"57.11.15,60.3.30",1022
宮城県,大和町,道路台帳,"撮影,図化","4000,,500","28.6KM2,1.0KM2",大和町,宮城県建設センター,"58.1.15,58.3.31",1272
宮城県,矢本町,道路台帳,"撮影,図化","4000,,500","5.3KM2,1.8KM2",矢本町,"アジア航測,セントラル航業","57.10.18,58.3.20",745
宮城県,小野田町,敷地造成,"撮影,図化","4000,,500","2.9KM2,0.4KM2",小野田町,パシフイック航業,"58.2.1,58.5.31",
宮城県,仙台市,土地区画整理,"撮影,図化","8000,,1000","3.0KM2,0.6KM2",仙台市,パシフイック航業,"58.3.3,58.3.19",
宮城県,"気仙沼市,本吉町",ほ場整備,"撮影,図化","8000,,1000","16.0KM2,4.5KM2",気仙沼市,アジア航測,"57.7.31,57.12.20",476
宮城県,富谷町,宅地造成,"撮影,図化","8000,,1000","93.9KM2,8.8KM2",富谷町,パシフイック航業,"57.8.10,57.9.30",479
宮城県,松山町,ほ場整備,"撮影,図化","8000,,1000","15.0KM2,10.2KM2",松山町,パシフイック航業,"57.11.16,58.3.20",932
宮城県,大河原町,都市計画,"撮影,図化","12500,,2500","48.0KM2,24.8KM2",大河原町,アジア航測,"57.11.24,58.3.10",936
宮城県,富谷町,都市計画,"撮影,図化新規,図化修正","12500,,2500,,2500","49.2KM2,12.0KM2,18.0KM2",富谷町,パシフイック航業,"57.6.14,57.9.30",219
宮城県,大和町,都市計画,"撮影,図化新規,図化修正","12500,,2500,,2500","64.0KM2,6.0KM2,18.0KM2",大和町,パシフイック航業,"58.1.7,58.2.28",1084
宮城県,仙台市,鉄道計画,図化,500,0.5KM2,日本国有鉄道仙台新幹線工事局,アジア航測,"58.2.24,58.3.20",
宮城県,角田市,土地改良,図化,1000,1.4KM2,宮城県大河原土地改良事務所,パシフイック航業,"58.3.3,58.3.25",
宮城県,北上町,都市計画,図化,1000,0.8KM2,北上町,アジア航測,"58.2.28,58.3.30",
宮城県,迫町,都市計画,図化,2500,8.7KM2,迫町,東日本航空,"57.4.20,57.6.20",49
宮城県,塩竈市,道路台帳,平板,500,0.2KM2,塩竈市,富士測量,"57.7.15,57.10.31",
宮城県,塩竈市,土地区画整理,平板,500,0.2KM2,塩竈市,中庭測量,"57.12.3,58.3.25",
宮城県,河南町,道路台帳,平板,500,0.7KM2,河南町,加美測量設計事務所,"57.7.30,57.12.15",
宮城県,富谷町,道路台帳,平板,500,0.2KM2,富谷町,富士測量,"58.1.20,58.3.22",
宮城県,鳴瀬町,道路台帳,平板,500,0.4KM2,鳴瀬町,富士測量,"58.1.20,58.3.20",
宮城県,泉市,土地区画整理,平板,500,0.3KM2,泉市八乙女土地区画整理組合,地域社会計画センター,"57.12.16,58.5.31",
秋田県,鷹巣町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","5.2KM2,40.4KM2,2.3KM2,11.6KM2",鷹巣町,パシフイック航業,"57.7.29,58.3.10",393
秋田県,五城目町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","8.5KM2,193.5KM2,1.2KM2,6.0KM2",五城目町,大川・中野道路台帳共同企業体,"57.6.1,58.1.31",168
秋田県,"能代市,山本町,八竜町,峰浜村",土地改良,"撮影,図化","8000,,2500","118.5KM2,6.4KM2",東北農政局能代開拓建設事務所,パシフイック航業,"57.11.16,57.12.20",931
秋田県,井川町,道路台帳,"撮影,図化","8000,,1000","61.8KM2,1.8KM2",井川町,セントラル航業,"57.5.17,57.12.26",243
秋田県,太田町,道路台帳,"撮影,図化","8000,,1000","102.5KM2,22.2KM2",太田町,国際航業,"57.11.15,61.2.20",835
秋田県,鳥海町,道路台帳,"撮影,図化","8000,,1000","156.7KM2,5.6KM2",鳥海町,セントラル航業,"57.5.10,59.1.10",87
秋田県,西木村,道路台帳,"撮影,図化","8000,,1000","152.0KM2,6.5KM2",西木村,セントラル航業,"57.6.2,57.12.26",242
秋田県,比内町,道路台帳,"撮影,図化","8000,,1000","204.5KM2,7.3KM2",比内町,国際航業,"57.6.1,58.2.28",170
秋田県,東成瀬村,管内図作成,"撮影,図化","25000,,10000","450.0KM2,204.0KM2",東成瀬村,パシフイック航業,"57.6.1,57.11.30",167
秋田県,増田町,道路台帳,図化,500,6.5KM2,増田町,パシフイック航業,"57.6.29,58.1.30",
秋田県,矢島町,ほ場整備,図化,1000,6.7KM2,矢島町,八州,"57.4.27,57.6.30",
秋田県,協和町,河川計画,図化,2500,3.2KM2,東北地建秋田工事事務所,朝日航洋,"57.9.1,57.10.30",
秋田県,,河川改修,図化,2500,10.2KM2,東北地建湯沢工事事務所,パシフイック航業,"57.8.8,57.12.20",434
秋田県,能代市,土地区画整理,平板,500,0.3KM2,能代市,八州,"57.10.22,57.12.25",
秋田県,能代市,土地区画整理,平板,500,0.9KM2,能代市,八州,"57.8.20,57.10.20",
秋田県,秋田市,土地区画整理,平板,500,0.2KM2,秋田市中央市場西地区土地区画整理組合,八州,"57.11.15,58.3.30",
秋田県,大曲市,土地区画整理,平板,500,0.2KM2,大曲市東部土地区画整理組合,東邦技術,"57.8.10,58.3.20",
山形県,高畠町,道路計画,"基準点,水準","3級,,3級","10point,37.4km",東北地建山形工事事務所,三和技術コンサルタント,"57.6.25,57.9.30",
山形県,東根市,地盤沈下,水準,2級,25.0km,東根市,三和技術コンサルタント,"57.10.29,58.1.23",834
山形県,天童市,地盤沈下,水準,2級,18.0km,天童市,三和技術コンサルタント,"57.10.26,57.12.20",1023
山形県,山形市,地盤沈下,水準,2級,60.4km,山形市,田村測量設計,"57.11.1,58.2.28",754
山形県,米沢市,地盤沈下,水準,2級,20.1km,米沢市,東邦技術,"57.9.29,57.12.10",655
山形県,東根市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","82.0KM2,82.0KM2,5.6KM2,3.1KM2",東根市,東日本航空,"57.10.16,59.3.30",748
山形県,鶴岡市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","18.0KM2,234.7KM2,3.6KM2,13.1KM2",鶴岡市,"朝日航洋,石川測量","57.9.25,59.2.28",630
山形県,山形市,道路台帳,"撮影,図化","4000,,500","230.0KM2,36.6KM2",山形市,パシフイック航業,"57.11.29,59.3.31",935
山形県,山形市,都市計画,"撮影,図化","4000,,500","54.0KM2,2.3KM2",山形市,パシフイック航業,"57.10.10,57.12.20",
山形県,寒河江市,都市計画及び道路台帳,"撮影,撮影,撮影,図化,図化修正,図化,図化,図化","4000,,8000,,25000,,1000,,2500,,5000,,10000,,25000","29.0KM2,128.0KM2,285.0KM2,10.0KM2,62.0KM2,122.0KM2,141.0KM2,141.0KM2",寒河江市,アジア航測,"57.4.30,59.4.25",51
山形県,河北町,道路台帳,"撮影,図化","4000,,500","57.6KM2,5.5KM2",河北町,東日本航空,"57.6.4,58.2.20",237
山形県,中山町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","5.0KM2,45.0KM2,0.7KM2,2.1KM2",中山町,パシフイック航業,"57.9.9,58.3.25",628
山形県,金山町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","10.7KM2,212.2KM2,1.7KM2,5.5KM2",金山町,国際航業,"57.5.13,58.2.28",124
山形県,川西町,道路台帳,"撮影,図化","8000,,1000","243.0KM2,19.0KM2",川西町,アジア航測,"57.6.26,58.2.28",301
山形県,朝日町,道路台帳,"撮影,図化","8000,,1000","173.7KM2,7.9KM2",朝日町,国際航業,"57.6.7,58.3.10",165
山形県,山辺町,道路台帳,"撮影,図化","8000,,1000","65.0KM2,6.2KM2",山辺町,東日本航空,"57.9.1,58.3.25",501
山形県,寒河江市,道路計画,図化,1000,0.9KM2,東北地建山形工事事務所,アジア航測,"57.10.30,58.1.31",
山形県,新庄市,道路台帳,図化,1000,1.2KM2,東北地建山形工事事務所,国際航業,"57.8.17,57.10.10",
山形県,山形市,都市計画,図化,1000,1.6KM2,山形県,パシフイック航業,"57.12.4,57.12.20",
山形県,余目町,都市計画,図化,2500,12.0KM2,余目町,セントラル航空測量,"57.11.20,58.1.30",897
山形県,尾花沢市,土地区画整理,平板,500,0.3KM2,尾花沢市,パシフイック航業,"57.8.21,57.9.30",
山形県,酒田市,土地区画整理,平板,500,0.3KM2,酒田市,高橋測量事務所,"57.7.1,58.3.31",
山形県,鶴岡市,土地区画整理,平板,500,0.2KM2,鶴岡市,国土振興技術,"57.9.1,57.12.30",
山形県,酒田市,土地区画整理,平板,500,0.1KM2,酒田市,高橋測量事務所,"57.12.1,58.3.31",
山形県,大石田町,土地区画整理,平板,500,0.2KM2,大石田町,オオバ,"57.7.20,58.1.31",
山形県,,森林計画,写図,5000,398.8KM2,山形県,東日本航空,"57.11.11,58.3.12",898
福島県,南郷村,道路計画,基準点,図根点,2point,福島県田島建設事務所,群馬測量,"57.9.3,57.10.5",
福島県,只見町,道路計画,基準点,図根点,3point,福島県田島建設事務所,林業土木コンサルタンツ,"57.10.21,57.11.25",
福島県,舘岩村,道路計画,基準点,図根点,2point,福島県田島建設事務所,大竹測量設計事務所,"57.9.14,57.10.31",
福島県,原町市,地盤沈下,水準,1級,44.0km,原町市,福建コンサルタント,"58.2.1,58.3.19",1165
福島県,相馬市,道路台帳,撮影(対標有),4000,197.3KM2,相馬市,パシフイック航業,"57.11.11,58.2.25",839
福島県,福島市,ダム計画,撮影(対標有),8000,60.0KM2,東北地建摺上川ダム調査事務所,アジア航測,"57.12.1,57.12.25",944
福島県,原町市,下水道台帳,"撮影,図化","4000,,500","19.5KM2,4.0KM2",原町市,新日本航測,"58.1.5,58.3.10",1192
福島県,須賀川市,水道事業,"撮影,図化","4000,,500","57.6KM2,1.6KM2",須賀川市,アジア航測,"57.8.15,58.6.30",549
福島県,会津坂下町,道路台帳,"撮影,図化","4000,,500","132.0KM2,18.7KM2",会津坂下町,東日本航空,"57.10.25,59.1.31",836
福島県,新地町,道路台帳,"撮影,図化","4000,,500","58.0KM2,8.9KM2",新地町,アジア航測,"57.10.30,58.12.20",838
福島県,長沼町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","46.7KM2,13.9KM2,7.1KM2,2.4KM2",長沼町,パシフイック航業,"58.2.7,59.2.25",1191
福島県,三島町,道路台帳,"撮影,図化","4000,,500","18.9KM2,1.8KM2",三島町,おおとり航測,"57.6.15,58.2.10",175
福島県,柳津町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","177.0KM2,177.0KM2,16.0KM2,16.0KM2",柳津町,パシフイック航業,"57.12.16,59.2.25",1025
福島県,梁川町,道路台帳,"撮影,図化","4000,,500","28.0KM2,3.3KM2",梁川町,新日本航測,"57.9.25,58.3.20",696
福島県,梁川町,下水道事業,"撮影,図化","4000,,500","8.0KM2,4.0KM2",梁川町,新日本航測,"57.7.20,57.9.30",394
福島県,東村,道路台帳,"撮影,図化,図化","4000,,500,,1000","40.4KM2,2.2KM2,6.1KM2",東村,パシフイック航業,"57.8.2,58.2.20",433
