都道府県名,測量地域,測量目的,測量種別,縮尺,事業量,計画機関,実施機関,作業期間,付図番号
北海道,函館市,都市計画,"撮影,図化","12500,,2500","230.0KM2,142.0KM2",函館市,パシフイック航業,"56.6.18,57.3.20",348
北海道,室蘭市,都市計画,"撮影,図化","12500,,2500","171.0KM2,75.0KM2",室蘭市,八州,"56.5.8,56.8.25",240
北海道,七飯町,都市計画,"撮影,図化","12500,,2500","60.0KM2,19.0KM2",七飯町,パシフイック航業,"57.2.10,57.8.20",1299
北海道,上磯町,都市計画,"撮影,図化","12500,,2500","80.0KM2,25.0KM2",上磯町,パシフイック航業,"57.2.10,57.6.20",1300
北海道,釧路市,草地開発,"撮影,図化","20000,,5000","80.4KM2,10.2KM2",釧路開発建設部,東洋航空事業,"56.5.28,56.8.20",159
北海道,釧路町,草地開発,"撮影,図化","20000,,5000","254.3KM2,11.0KM2",釧路開発建設部,東洋航空事業,"56.5.28,56.8.20",160
北海道,"倶知安町,京極町",農地開発,"撮影,図化","20000,,5000","321.2KM2,21.9KM2",小樽開発建設部,日本測量,"56.5.22,56.12.8",237
北海道,剣淵町,農地開発,"撮影,図化","20000,,5000","120.0KM2,70.0KM2",旭川開発建設部,北海航測,"56.6.10,56.9.30",251
北海道,"別海町,浜中町,厚岸町",演習場計画,"撮影,図化","20000,,5000","473.0KM2,220.0KM2",札幌防衛施設局,パシフイック航業,"56.10.5,58.3.31",869
北海道,,電源開発,"撮影,図化","20000,,5000","607.7KM2,97.5KM2",(財)新エネルギー財団水力本部,アジア航測,"56.10.13,57.3.10",
北海道,"余市町,仁木町,赤井川村",土地改良,"撮影,図化","25000,,5000","298.8KM2,23.6KM2",小樽開発建設部,三和航測,"56.5.22,56.12.5",239
北海道,"釧路市,白糠町",道路計画,"撮影,図化","25000,,5000","667.0KM2,54.0KM2",釧路開発建設部,八州,"56.10.23,57.3.10",872
北海道,紋別市,道路台帳,図化,500,3.8KM2,紋別市,東洋航空事業,"56.8.20,57.8.31",
北海道,幌加内町,農地開発,図化,1000,5.2KM2,札幌開発建設部,東洋航空事業,"56.5.30,56.9.10",
北海道,"深川市,南富良野町",道路計画,図化,1000,1.9KM2,旭川開発建設部,八州,"56.6.20,56.9.30",
北海道,"東藻琴村,美幌町",道路計画,図化,1000,0.8KM2,網走開発建設部,国際航業,"56.10.5,56.12.23",
北海道,紋別市,河川計画,図化,2500,16.4KM2,網走開発建設部,日本測量,"56.6.20,56.9.16",
北海道,豊富町,道路計画,図化,2500,7.1KM2,稚内開発建設部,シン航空写真,"56.7.20,56.10.8",
北海道,"標津町,中標津町",河川計画,図化,2500,4.2KM2,釧路開発建設部,日本測量,"56.10.23,57.1.30",
北海道,札幌市,都市計画,図化,2500,230.5KM2,札幌市,アジア・シン・北海・ロイヤル共同企業体,"56.8.20,57.3.20",471
北海道,紋別市,都市計画,図化,2500,18.0KM2,紋別市,東洋航空事業,"56.8.20,56.11.15",659
北海道,富良野市,農村整備事業,図化,2500,3.4KM2,富良野市,三和航測,"56.9.30,56.10.31",
北海道,雄武町,土地改良,図化,5000,14.0KM2,網走開発建設部,日本測量,"56.5.22,56.8.10",238
北海道,足寄町,畜産基地建設計画,図化,5000,4.0KM2,帯広開発建設部,三和航測,"56.5.30,56.8.15",
北海道,本別町,土地改良,"図化,図化","5000,,10000","8.5KM2,188.5KM2",帯広開発建設部,中庭測量,"56.9.19,57.2.25",871
北海道,"豊富町,中頓別町",農地開発,図化,5000,37.5KM2,稚内開発建設部,北海航測,"56.6.8,56.9.9",241
北海道,七飯町,農地開発,図化,5000,22.0KM2,函館開発建設部,シン航空写真,"56.6.6,56.9.30",245
北海道,"大樹町,島牧村",草地開発,図化,5000,6.4KM2,北海道農務部,"ロイヤル測量設計,北海航測","56.5.1,56.9.30",
北海道,"本別町,池田町",農用水事業計画,図化,10000,20.0KM2,十勝支庁,ロイヤル測量設計,"57.1.18,57.3.10",1223
北海道,"枝幸町,士別市,標津町,別海町",国有地境界測量,平板,2500,1.1KM2,北海道農地開発部,北海航測外5社,"56.7.20,56.11.20",
青森県,大鰐町,道路設計,"基準点,水準",",,","4point,1.7km",東北地建青森工事事務所,パシフイック航業,"56.10.25,57.3.20",
青森県,浪岡町,道路計画,水準,,2.3km,東北地建青森工事事務所,東邦技術,"56.9.11,57.2.10",
青森県,黒石市,農業水利,水準,,120.0km,東北農政局浅瀬石川農業水利事業所,しんとう計測,"56.8.19,56.10.10",
青森県,青森市,地盤沈下,水準,,15.0km,青森県,東北測量,"56.5.20,56.6.20",29
青森県,青森市,地盤沈下,水準,,90.0km,青森市,東北測量,"56.5.25,56.6.24",72
青森県,八戸市,地盤沈下,水準,,67.5km,八戸市,興和測量,"56.9.20,56.11.20",581
青森県,深浦町,農地開発,"撮影,撮影","8000,,20000","28.0KM2,181.0KM2",東北農政局津軽総合開発調査事務所,アジア航測,"56.6.15,56.7.16",260
青森県,六ケ所村,造成計画,"撮影,図化","3000,,500","7.0KM2,4.5KM2",むつ小川原開発(株),東洋航空事業,"56.8.5,56.12.20",
青森県,五所川原市,下水道台帳図,"撮影,図化","4000,,500","10.0KM2,2.5KM2",五所川原市,パシフイック航業,"56.11.5,57.3.20",
青森県,東北町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","42.0KM2,210.0KM2,0.9KM2,8.1KM2",東北町,東北測量,"56.11.30,57.10.31",1040
青森県,中里町,道路台帳,"撮影,図化","4000,,500","4.4KM2,0.1KM2",中里町,パシフイック航業,"56.12.15,57.3.20",
青森県,浪岡町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","15.0KM2,230.0KM2,6.7KM2,30.8KM2",浪岡町,パシフイック航業,"57.1.29,58.2.20",1226
青森県,むつ市,港立地環境調査,"撮影,撮影,図化,図化","4000,,20000,,500,,10000","2.9KM2,50.6KM2,1.2KM2,14.0KM2",日本原子力船研究開発事業団,アジア航測,"56.10.30,57.1.31",927
青森県,木造町,道路台帳,"撮影,図化,図化","8000,,500,,1000","120.7KM2,0.3KM2,12.0KM2",木造町,東日路政コンサルタント,"56.3.30,57.3.20",27
青森県,平賀町,道路台帳,"撮影,図化","8000,,1000","496.0KM2,31.7KM2",平賀町,パシフイック航業,"56.10.27,57.12.26",821
青森県,深浦町,道路台帳,"撮影,図化","8000,,1000","146.0KM2,142.0KM2",深浦町,東洋航空事業,"56.11.19,57.7.31",
青森県,藤崎町,道路台帳,"撮影,図化","8000,,1000","22.0KM2,3.6KM2",藤崎町,東日本航空,"57.1.12,58.1.31",1143
青森県,黒石市,農業水利事業,"撮影,撮影,図化","12500,,20000,,2500","98.0KM2,146.0KM2,31.2KM2",東北農政局浅瀬石川農業水利事業所,アジア航測,"56.7.11,56.10.17",362
青森県,青森市,都市計画,"撮影,撮影,図化,編集","12500,,30000,,2500,,10000","175.3KM2,759.8KM2,118.0KM2,118.0KM2",青森県,東北測量,"56.6.26,56.12.25",261
青森県,弘前市,都市計画,"撮影,撮影,図化,図化修正,図化修正","12500,,30000,,2500,,2500,,10000","193.0KM2,803.0KM2,41.0KM2,55.5KM2,96.5KM2",青森県,パシフイック航業,"56.6.20,56.12.25",262
青森県,森田村,都市計画,"撮影,図化","25000,,5000","24.0KM2,13.0KM2",森田村,パシフイック航業,"56.7.23,56.9.20",388
青森県,八戸市,都市計画,"撮影,図化,図化修正,編集","30000,,2500,,2500,,10000","104.0KM2,18.7KM2,114.6KM2,490.0KM2",青森県,東北測量,"56.6.20,56.12.25",263
青森県,八戸市,道路台帳,図化,500,18.6KM2,八戸市,東洋航空事業,"57.2.22,57.4.25",
青森県,弘前市,河川計画,図化,2500,24.2KM2,東北地建青森工事事務所,国際航業,"56.10.14,57.2.25",
青森県,青森市,地質調査,図化,10000,630.0KM2,金属鉱業事業団,アジア航測,"56.6.17,56.12.20",286
青森県,平内町,道路台帳,平板,500,0.4KM2,平内町,開明測量総合技術,"56.9.20,59.3.25",
青森県,下田町,道路台帳,平板,1000,49.3KM2,下田町,出雲測量設計事務所,"56.4.28,56.9.30",
青森県,黒石市,森林調査,写図,5000,153.0KM2,青森県,大成測量,"56.4.25,56.7.31",49
岩手県,"一関市,奥州市,平泉町",土地改良,水準,,101.5km,東北農政局,中庭測量,"56.12.10,57.1.23",
岩手県,盛岡市,用地杭座標測定,撮影,8000,18.9KM2,東北地建北上川ダム総合管理事務所,アジア航測,"56.10.7,56.12.25",676
岩手県,"久慈市,大野村",道路計画,撮影,12500,800.0KM2,岩手県,パシフイック航業,"56.11.17,57.2.5",986
岩手県,,民有林空中写真撮影,撮影,16000,1184.0KM2,岩手県,東北測量,"56.4.28,56.9.30",79
岩手県,水沢市,道路台帳,"撮影,撮影,撮影,図化,図化,図化","4000,,8000,,30000,,500,,1000,,10000","20.0KM2,150.0KM2,200.0KM2,20.0KM2,95.6KM2,95.6KM2",水沢市,東日本航空,"56.12.20,57.3.20",1089
青森県,蟹田町,鉄道計画,"撮影,図化","4000,,500","4.1KM2,0.3KM2",日本国有鉄道盛岡工事局,東北測量,"56.10.25,56.12.11",
岩手県,一関市,遊水地事業,"撮影,図化","8000,,1000","5.4KM2,1.8KM2",東北地建岩手工事事務所,国際航業,"56.6.23,56.9.19",
岩手県,一戸町,道路台帳,"撮影,図化","8000,,1000","300.0KM2,18.2KM2",一戸町,パシフイック航業,"56.4.20,58.3.30",107
岩手県,藤沢町,土地改良,"撮影,図化","8000,,1000","122.7KM2,3.0KM2",藤沢町,セントラル航業,"56.11.20,57.3.20",940
岩手県,都南村,道路台帳,"撮影,図化","8000,,1000","148.0KM2,25.0KM2",都南村,アジア航測,"56.10.27,59.3.31",920
岩手県,川崎村,土地改良,"撮影,図化","8000,,1000","5.0KM2,1.5KM2",川崎村,セントラル航業,"56.11.20,57.3.20",
岩手県,釜石市,都市計画,"撮影,図化","10000,,2500","210.0KM2,132.5KM2",釜石市,八州,"56.8.15,57.3.20",513
岩手県,久慈市,工業団地造成,"撮影,図化","10000,,2000","8.5KM2,1.5KM2",久慈地区広域土地開発公社,アジア航測,"57.2.26,57.3.31",1305
岩手県,川井村,道路計画,"撮影,図化","12500,,5000","33.8KM2,20.0KM2",岩手県宮古土木事務所,パシフイック航業,"56.12.16,57.2.5",1067
岩手県,陸前高田市,都市計画,"撮影,図化","12500,,2500","30.0KM2,22.5KM2",陸前高田市,写測,"56.11.25,57.3.31",938
岩手県,安代町,農地開発,"撮影,図化","25000,,5000","198.4KM2,30.8KM2",東北農政局北上地域総合開発事務所,アジア航測,"56.10.31,56.12.26",923
岩手県,胆沢町,砂防計画,図化,500,0.5KM2,東北地建岩手工事事務所,アジア航測,"56.8.27,56.10.31",
岩手県,盛岡市,道路台帳,図化,500,5.2KM2,盛岡市,パシフイック航業,"56.10.6,57.2.27",
岩手県,花巻市,ほ場整備,図化,1000,8.0KM2,花巻市,第一航業,"56.6.17,56.9.30",289
岩手県,大迫町,道路台帳,図化,1000,2.8KM2,大迫町,パシフイック航業,"56.10.28,57.3.20",
岩手県,田老町,漁港平面図作成,図化,2000,1.5KM2,田老町,パシフイック航業,"56.8.19,56.10.31",
岩手県,岩手町,ダム計画,図化,2500,10.0KM2,東北地建岩手工事事務所,パシフイック航業,"56.8.14,56.10.15",
岩手県,江刺市,都市計画,図化,2500,68.0KM2,江刺市,東洋航空事業,"56.5.1,57.3.25",105
岩手県,西根町,農村総合整備,図化,5000,166.6KM2,西根町,パシフイック航業,"56.4.30,56.6.30",75
岩手県,宮古市,土地区画整理,平板,500,0.1KM2,宮古市,佐藤測量技術設計,"57.1.14,57.2.28",
岩手県,山田町,土地区画整理,平板,500,0.4KM2,山田町,八州,"56.11.5,57.3.20",
宮城県,仙台市,地盤沈下,水準,,240.0km,宮城県,"関東測量設計,協同測量社,東日本航空,富士測量","56.8.1,57.3.31",390
宮城県,仙台市,固定資産税評価,撮影,4000,238.0KM2,仙台市,パシフイック航業,"57.3.15,57.4.15",1376
宮城県,川崎町,道路台帳,撮影,4000,128.0KM2,川崎町,アジア航測,"56.11.28,57.1.31",1039
宮城県,志津川町,森林調査,撮影,16000,489.0KM2,宮城県,写測,"56.4.28,56.10.31",78
宮城県,仙台市,道路計画,"撮影,図化","4000,,500","12.6KM2,1.1KM2",仙台市,アジア航測,"56.10.14,57.2.20",
宮城県,石巻市,道路台帳,"撮影,図化","4000,,500","14.5KM2,7.3KM2",石巻市,国際航業,"56.5.28,57.3.31",131
宮城県,小野田町,道路台帳,"撮影,図化","4000,,500","19.0KM2,5.2KM2",小野田町,パシフイック航業,"56.4.25,57.1.30",256
宮城県,山元町,道路台帳,"撮影,図化","4000,,500","63.8KM2,8.5KM2",山元町,セントラル航業,"56.10.11,57.11.30",717
宮城県,利府町,道路台帳,"撮影,図化","4000,,500","15.0KM2,0.8KM2",利府町,宮城県建設センター,"56.10.20,57.4.1",
宮城県,秋保町,道路台帳,"撮影,図化","4000,,500","5.1KM2,0.3KM2",秋保町,宮城県建設センター,"56.10.20,57.3.30",
宮城県,矢本町,道路台帳,"撮影,図化","4000,,500","4.4KM2,1.2KM2",矢本町,セントラル航業,"56.12.15,57.3.25",
宮城県,富谷町,廃棄物埋立計画,"撮影,図化","8000,,1000","10.2KM2,0.9KM2",仙台市,パシフイック航業,"57.1.25,57.3.10",1202
宮城県,角田市,道路台帳,"撮影,図化","8000,,1000","147.7KM2,24.9KM2",角田市,パシフイック航業,"56.3.19,58.2.15",28
宮城県,岩沼市,道路台帳,"撮影,図化","8000,,1000","91.5KM2,21.5KM2",岩沼市,国際航業,"57.1.25,58.2.15",1177
宮城県,岩出山町,道路台帳,"撮影,図化","8000,,1000","189.0KM2,11.5KM2",岩出山町,アジア航測,"56.4.22,57.3.20",253
宮城県,中田町,土地改良,"撮影,図化","8000,,1000","4.5KM2,9.0KM2",中田町,セントラル航業,"56.10.12,57.3.10",
宮城県,若柳町,土地改良,"撮影,図化","8000,,1000","12.6KM2,3.5KM2",若柳町,パシフイック航業,"56.11.9,57.2.27",
宮城県,若柳町,都市計画,"撮影,図化,図化","12500,,2500,,5000","55.0KM2,9.1KM2,45.3KM2",若柳町,セントラル航業,"56.8.25,56.11.24",387
宮城県,,電源開発,"撮影,図化","20000,,5000","146.3KM2,217.9KM2",(財)新エネルギー財団水力本部,アジア航測,"56.10.13,57.3.10",
宮城県,志波姫町,土地改良,"撮影,図化","30000,,10000","30.0KM2,30.0KM2",宮城県築館土地改良事務所,セントラル航業,"57.1.20,57.2.25",1201
宮城県,米山町,道路台帳,図化,500,1.2KM2,米山町,国際航業,"56.12.10,57.3.20",
宮城県,仙台市,土地区画整理,平板,500,0.2KM2,仙台市,パシフイック航業,"56.10.5,57.3.25",
宮城県,塩竈市,道路台帳,平板,500,0.2KM2,塩釜市,富士測量,"56.6.30,56.10.31",
宮城県,岩沼市,土地区画整理,平板,500,0.2KM2,岩沼市,国際航業,"56.7.1,56.10.30",
宮城県,河南町,道路台帳,平板,500,0.7KM2,河南町,富士測量,"56.10.15,57.3.31",
宮城県,鳴瀬町,道路台帳,平板,500,0.4KM2,鳴瀬町,富士測量,"56.12.21,57.3.20",
秋田県,"秋田市,大仙市,五城目町,八郎潟町,井川町,大潟村,本荘市,にかほ市",物理探鉱,縦横断,,81.0km,帝国石油(株),自営,"57.3.15,57.5.31",
秋田県,,民有林空中写真撮影,撮影,16000,744.0KM2,秋田県,東北測量,"56.5.11,56.9.30",77
秋田県,鹿角市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","7.3KM2,378.0KM2,2.0KM2,40.0KM2",鹿角市,国際航業,"56.10.29,58.12.25",1042
秋田県,増田町,道路台帳,"撮影,図化","4000,,500","85.0KM2,0.2KM2",増田町,パシフイック航業,"56.10.22,57.2.10",919
秋田県,田沢湖町,ダム計画,"撮影,図化","8000,,1000","7.5KM2,1.7KM2",東北地建玉川ダム工事事務所,国際航業,"56.10.19,57.1.30",
秋田県,能代市,道路台帳,"撮影,図化","8000,,1000","380.0KM2,25.0KM2",能代市,八州,"56.5.24,57.9.30",132
秋田県,東由利町,道路台帳,"撮影,図化","8000,,1000","148.5KM2,8.3KM2",東由利町,写測,"56.11.2,57.3.25",791
秋田県,田沢湖町,道路台帳,"撮影,撮影,図化,図化","8000,,30000,,1000,,10000","210.0KM2,960.0KM2,13.5KM2,200.0KM2",田沢湖町,パシフイック航業,"56.10.28,58.2.20",845
秋田県,仙北町,道路台帳,"撮影,図化","8000,,1000","52.5KM2,16.5KM2",仙北町,アジア航測,"56.12.1,57.3.31",1037
秋田県,若美町,道路台帳,"撮影,図化,図化","8000,,1000,,10000","39.8KM2,9.2KM2,39.8KM2",若美町,東日本航空,"56.12.12,58.2.10",
秋田県,八竜町,道路台帳,"撮影,図化","8000,,1000","96.0KM2,0.5KM2",八竜町,国際航業,"57.3.25,58.2.20",1383
秋田県,山内村,道路台帳,"撮影,図化","8000,,1000","90.0KM2,1.6KM2",山内村,パシフイック航業,"57.2.24,57.7.30",1307
秋田県,森吉町,ダム計画,"撮影,図化","12500,,2500","94.4KM2,17.4KM2",東北地建阿仁川ダム調査事務所,国際航業,"56.5.1,56.11.30",254
秋田県,八郎潟町,都市計画,"撮影,図化","20000,,5000","58.0KM2,16.0KM2",八郎潟町,パシフイック航業,"56.9.16,57.2.28",616
秋田県,協和町,都市計画,"撮影,図化","25000,,5000","290.0KM2,247.2KM2",協和町,パシフイック航業,"56.10.15,56.12.30",725
秋田県,仁賀保町,都市計画,"撮影,図化","30000,,10000","106.0KM2,99.3KM2",仁賀保町,写測,"56.11.20,57.3.25",937
秋田県,雄和町,河川改修,図化,2500,4.4KM2,東北地建秋田工事事務所,東洋航空事業,"56.10.30,57.1.30",
秋田県,西仙北町,都市計画,図化,2500,9.6KM2,西仙北町,パシフイック航業,"56.10.27,57.3.31",
秋田県,田沢湖町,都市計画,"図化,図化修正","2500,,2500","2.8KM2,5.1KM2",田沢湖町,パシフイック航業,"56.10.28,57.2.28",
秋田県,仙北市,地質調査,"編集,編集","5000,,10000","28.0KM2,172.0KM2",金属鉱業事業団,八州,"56.6.17,56.10.31",287
秋田県,秋田市,都市計画,"平板,平板","500,,1000","0.6KM2,0.6KM2",秋田市,オオバ,"56.8.15,56.10.31",
秋田県,秋田市,土地区画整理,平板,500,0.4KM2,秋田市,八州,"56.10.24,57.1.26",
山形県,"高畠町,南陽市",道路計画,"水準,縦横断,平板,平板",",,,,200,,500","9.7km,7.2km,0.1KM2,0.1KM2",東北地建山形工事事務所,新和調査設計事務所,"56.5.21,56.9.21",
山形県,山形市,地盤沈下,水準,,53.4km,山形市,田村測量設計事務所,"56.11.1,57.2.28",819
山形県,東根市,地盤沈下,水準,,25.0km,東根市,三和技術コンサル,"56.10.30,56.12.26",924
山形県,高畠町,道路計画,撮影,8000,10.2KM2,東北地建山形工事事務所,国際航業,"56.5.19,56.6.30",209
山形県,村山市,都市計画,撮影,12500,50.0KM2,村山市,パシフイック航業,"56.12.25,57.4.10",1139
山形県,,森林計画,撮影,20000,692.8KM2,山形県,国際航業,"56.5.7,56.10.31",74
山形県,,森林計画,撮影,20000,54.7KM2,山形県,東洋航空事業,"56.12.3,57.3.16",1057
山形県,三川町,道路台帳,"撮影,図化","4000,,500","32.9KM2,1.6KM2",三川町,セントラル航業,"56.8.20,57.3.25",512
山形県,余目町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","5.0KM2,148.7KM2,3.0KM2,6.6KM2",余目町,国際航業,"56.8.21,57.4.15",565
山形県,鶴岡市,下水道台帳,"撮影,図化","5000,,500","4.0KM2,2.0KM2",鶴岡市,東洋航空事業,"56.11.10,57.3.30",
山形県,最上町,ほ場整備,"撮影,図化","8000,,1000","12.4KM2,5.5KM2",最上町,写測,"56.6.29,56.9.30",
山形県,松山町,道路台帳,"撮影,図化","8000,,1000","92.0KM2,2.3KM2",松山町,アジア航測,"56.7.11,57.3.31",360
山形県,遊佐町,道路台帳,"撮影,図化","8000,,1000","146.0KM2,9.6KM2",遊佐町,アジア航測,"56.7.11,57.3.31",361
山形県,西川町,道路台帳,"撮影,図化","8000,,1000","392.0KM2,8.6KM2",西川町,国際航業,"56.8.1,57.3.31",430
山形県,立川町,道路台帳,"撮影,撮影,図化","8000,,4000,,1000","81.0KM2,5.5KM2,54.0KM2",立川町,国際航業,"56.8.31,57.5.31",564
山形県,平田町,道路台帳,"撮影,図化","8000,,1000","180.0KM2,4.5KM2",平田町,パシフイック航業,"56.10.27,57.5.30",822
山形県,八幡町,道路台帳,"撮影,図化","8000,,1000","210.0KM2,5.4KM2",八幡町,パシフイック航業,"56.11.9,57.5.30",930
山形県,"真室川町,金山町",河川計画,"撮影,図化","12500,,2500","52.0KM2,8.0KM2",東北地建新庄工事事務所,パシフイック航業,"56.10.24,57.1.30",918
山形県,"東根市,村山市,河北町",下水道計画,"撮影,図化","12500,,2500","33.0KM2,8.5KM2",山形県村山建設事務所,セントラル航空測量,"56.7.11,56.9.30",363
山形県,山形市,都市計画,"撮影,図化,図化修正","12500,,2500,,2500","23.0KM2,9.0KM2,3.0KM2",山形市,パシフイック航業,"56.7.24,56.9.30",389
山形県,東根市,都市計画,"撮影,図化,図化修正","12500,,2500,,2500","65.4KM2,17.3KM2,48.2KM2",東根市,パシフイック航業,"56.8.20,56.10.20",514
山形県,金山町,都市計画,"撮影,図化","12500,,2500","17.0KM2,2.3KM2",金山町,国際航業,"56.6.29,56.9.26",290
山形県,高畠町,道路計画,図化,1000,1.8KM2,東北地建山形工事事務所,国際航業,"56.10.10,56.12.10",
山形県,米沢市,道路計画,図化,2500,15.3KM2,東北地建山形工事事務所,国際航業,"56.8.1,56.10.15",
山形県,尾花沢市,道路計画,図化,2500,3.0KM2,東北地建山形工事事務所,東洋航空事業,"56.10.20,56.12.10",
山形県,,河川改修,図化,2500,3.6KM2,東北地建山形工事事務所,セントラル航空測量,"57.3.10,57.3.31",1378
山形県,戸沢村,砂防計画,図化,2500,12.0KM2,東北地建新庄工事事務所,国際航業,"56.10.21,57.2.10",
山形県,西川町,河川改修,図化,2500,4.1KM2,東北地建新庄工事事務所,東洋航空事業,"56.10.27,57.1.9",
山形県,遊佐町,都市計画,図化,2500,8.5KM2,遊佐町,パシフイック航業,"56.4.1,56.4.30",
山形県,山辺町,都市計画,図化,2500,0.8KM2,山辺町,パシフイック航業,"56.12.14,57.1.20",
山形県,大石田町,土地区画整理,平板,500,0.1KM2,大石田町,オオバ,"56.9.1,56.11.30",
