都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,～の有無,2018.01.10地名修正
北海道,熊石町,"道路台帳,産業開発","撮影,撮影,写測,写測","4000,,8000,,500,,1000","93.0KM2,93.0KM2,4.3KM2,4.3KM2",熊石町,北海航測,"55.4.29,56.3.31",136,◎_写測修正,,,
北海道,北見市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","49.9KM2,380.2KM2,29.1KM2,36.5KM2",北見市,国際航業,"55.5.25,57.1.31",137,,,,
北海道,幕別町,農村総合整備,"撮影,写測","12500,,2500","13.2KM2,1.0KM2",幕別町,シン航空写真(株),"55.5.13,55.6.30",,,字以下削除,,
北海道,本別町,都市計画,"撮影,写測","12500,,2500","45.9KM2,18.5KM2",本別町,シン航空写真(株),"55.5.15,55.7.31",,,,,
北海道,妹背牛町,農村総合整備,"撮影,写測","25000,,10000","168.6KM2,50.0KM2",妹背牛町,シン航空写真(株),"55.5.15,55.7.31",164,,全域削除,,
北海道,池田町,排水対策,写測,5000,6.4KM2,十勝支庁,シン航空写真(株),"55.4.26,55.6.10",166,,字以下削除,,
北海道,豊頃町,道路調査,基準点,,1point,帯広開発建設部,土木技術コンサルタント,"55.5.17,55.9.30",,,,,
北海道,"芦別市,夕張市,当別町,仁木町,古平町,浜益村",林野境界調査,写測,5000,54.0KM2,北海道営林局,自営,"55.5.15,55.10.30",,,,,
北海道,富良野市,土地改良,"撮影,写測","20000,,5000","190.0KM2,83.0KM2",旭川開発建設部,北海航測,"55.5.16,55.11.30",169,,,,
北海道,"音威子府村,中川町,歌登町,美深町",森林調査,撮影,20000,915.0KM2,北海道林務部,北海道航空,"55.5.16,55.9.30",170,,,,
北海道,幌延町,河川改修,写測,2500,23.0KM2,留萌開発建設部,シン航空写真(株),"55.5.17,55.11.5",,,流域削除,,
北海道,雄武町,土地改良,写測,2000,2.4KM2,網走開発建設部,北海航測,"55.6.9,55.7.25",,,,,
北海道,帯広市,道路整備,"撮影,写測","6000,,1000","9.7KM2,2.0KM2",帯広市,シン航空写真(株),"55.6.9,55.8.29",,,,,
北海道,標津町,道路計画,写測,1000,0.5KM2,釧路開発建設部,(株)八州,"55.5.23,55.7.31",,,地名修正,,
北海道,稚内市,道路台帳,"撮影,写測","8000,,1000","655.5KM2,36.5KM2",稚内市,"国際航業,北海道航空","55.6.2,55.12.20",217,,,,
北海道,沼田町,農業用水計画,"撮影,写測","12500,,2500","85.0KM2,16.1KM2",札幌開発建設部,東洋航空事業,"55.5.17,55.7.31",,,,,
北海道,"紋別市,岩内町,松前町,",森林計画,空三,5000,471model,北海道林務部,"パシフィック航業,(株)八州,東洋航空事業","55.5.15,55.7.31",,,"地区削除,外削除",,
北海道,釧路市,森林調査,撮影,20000,3620.0KM2,北海道林務部,北海道航空,"55.5.15,55.10.25",220,,「他」削除,,
北海道,"豊富町,浜頓別町",農地開発,写測,5000,37.0KM2,稚内開発建設部,北海航測,"55.6.2,55.11.11",221,,,,
北海道,清水町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","11.0KM2,415.0KM2,2.3KM2,51.0KM2",清水町,東日本航空,"55.6.15,56.5.30",222,,,,
北海道,,国有林野管理経営,"境界,図根",",,","41.0km,14point",旭川営林支局,自営,"55.6.16,55.11.30",,,管内削除,,
北海道,,道路計画,"撮影,撮影,写測,写測","8000,,12500,,1000,,2500","21.6KM2,21.4KM2,2.1KM2,1.8KM2",函館開発建設部,日本測量(株),"55.7.5,55.11.1",,,道路,,
北海道,当麻町,農地開発,写測,5000,50.0KM2,旭川開発建設部,北海航測,"55.5.30,55.8.30",225,,,,
北海道,標津町,文化財整備,"撮影,写測","10000,,2000","38.8KM2,13.0KM2",標津町,パシフィック航業,"55.6.17,55.7.20",226,,,,
北海道,江別市,現況図修正,"撮影,写測","12500,,2500","172.6KM2,74.5KM2",江別市,シン航空写真(株),"55.6.11,55.9.30",292,,,,
北海道,東藻琴村,道路計画,写測,2500,5.8KM2,網走開発建設部,三和航測,"55.6.15,55.9.12",,,郡削除,,
北海道,中札内村,砂防計画,"撮影,写測","12500,,2500","39.8KM2,10.0KM2",帯広開発建設部,シン航空写真(株),"55.6.21,55.9.10",,,郡削除,,地名修正
北海道,豊頃町,道路計画,"撮影,写測","8000,,1000","27.3KM2,3.0KM2",帯広開発建設部,シン航空写真(株),"55.6.21,55.9.10",295,,郡削除，地名修正,,
北海道,白糠町,林野境界測量,"図根,境界",",,","8point,93.0km",帯広営林支局,自営,"55.6.20,55.10.31",,,外削除,,地名修正
北海道,白糠町,道路台帳,"撮影,写測","8000,,1000","500.0KM2,28.0KM2",白糖町,東邦測量,"55.6.19,56.3.25",298,,全域削除,,地名修正
北海道,七飯町,農地開発,撮影,20000,228.5KM2,函館開発建設部,シン航空写真(株),"55.6.27,55.9.20",324,,全域削除,,
北海道,"穂別町,登別市,鵡川町",道路計画,"撮影,写測","8000,,1000","33.3KM2,3.3KM2",室蘭開発建設部,シン航空写真(株),"55.7.4,55.11.10",,,地名修正,,幌別町はS36に登別市に改称
北海道,標茶町,国有地境界測量,基準点,,17.2km,北海道,ロイヤル測量設計,"55.7.18,55.11.25",,,字以下削除,,
北海道,音別町,国有地境界測量,基準点,,36.7km,北海道,"東邦測量,田西測量","55.7.18,55.10.25",,,字以下削除,,
北海道,倶知安町,国有地境界測量,基準点,,18.1km,北海道,(株)矢本測量,"55.7.18,55.11.21",,,字以下削除,,
北海道,旭川市,国有地境界測量,基準点,,21.2km,北海道,三砂測量設計,"55.7.18,55.11.12",,,地名修正,,
北海道,士別市,国有地境界測量,基準点,,5.4km,北海道,高崎測量設計,"55.8.20,55.10.26",,,地名修正,,
北海道,下川町,道路台帳,"撮影,写測","8000,,1000","215.8KM2,14.3KM2",下川町,東洋航空事業,"55.7.5,56.3.31",438,,,,
北海道,稚内市,道路建設,写測,2500,3.4KM2,稚内開発建設部,シン航空写真(株),"55.7.5,55.8.23",,,地名修正,,
北海道,常呂町,土地改良,"撮影,撮影,写測","8000,,10000,,10000","11.6KM2,38.1KM2,4.1KM2",網走開発建設部,東洋航空事業,"55.7.17,55.9.1",440,,郡削除,,地名修正
北海道,端野町,農地開発,写測,5000,17.0KM2,網走開発建設部,日本測量(株),"55.7.10,55.10.2",441,,郡削除,,
北海道,羽幌町,道路建設,"撮影,写測","8000,,1000","8.6KM2,0.4KM2",留萌開発建設部,シン航空写真(株),"55.7.18,55.12.10",,,郡削除,,
北海道,長万部町,土地改良,"撮影,写測","25000,,10000","140.8KM2,25.0KM2",函館開発建設部,東洋航空事業,"55.6.7,55.9.30",443,,"地区削除,地名修正",,
北海道,神恵内村,道路改築計画,"撮影,写測","8000,,1000","11.8KM2,4.0KM2",小樽開発建設部,パシフィック航業,"55.7.25,55.12.5",444,,"地区削除,外削除",,
北海道,富良野市,作付調査,撮影,10000,30.0KM2,"農林水産省経済局,統計情報部",アジア航測,"55.8.18,55.8.30",373,,"地区削除,地名修正",,
北海道,"紋別市,湧別町,遠軽町",河川計画,写測,2500,39.5KM2,網走開発建設部,日本測量(株),"55.7.29,55.11.5",460,,,,地名修正
北海道,標津町,国有地境界測量,平板,2500,0.8KM2,北海道,"(株)香島測量設計,北海航測","55.8.18,55.12.25",,,郡削除,,
北海道,紋別市,"道路台帳,都市計画","撮影,撮影,写測","4000,,12500,,500","29.2KM2,39.2KM2,9.2KM2",紋別市,東洋航空事業,"55.6.6,56.3.31",462,,,,
北海道,札幌市,地盤沈下,水準,,210.0km,札幌市,大東測地(株),"55.9.1,55.12.1",464,,地名修正,,
北海道,鹿追町,土地改良,"撮影,撮影,写測,写測","10000,,20000,,2000,,5000","15.9KM2,113.0KM2,1.2KM2,36.8KM2",帯広開発建設部,東洋航空事業,"55.7.26,55.10.30",465,,,,
北海道,清水町,土地改良,"撮影,写測","5000,,2000","40.0KM2,40.0KM2",帯広開発建設部,東洋航空事業,"55.6.28,55.11.25",466,,地区削除&地名修正,,
北海道,砂川市,河川改修,基準点,,1point,石狩川開発建設部,大東測地(株),"55.8.26,55.9.14",,,,,
北海道,札幌市,河川計画,"撮影,写測","12500,,2500","129.2KM2,28.8KM2",石狩川開発建設部,日本測量(株),"55.8.2,55.12.10",581,,,,
北海道,鵡川町,道路台帳,"撮影,写測","8000,,1000","176.4KM2,0.9KM2",鵡川町,極東陸地測量,"55.8.25,56.3.20",582,,全域削除,,
北海道,音更町,道路計画,写測,2500,4.5KM2,帯広開発建設部,シン航空写真(株),"55.8.25,55.10.15",,,郡削除,,
北海道,"標津町,中標津町",河川計画,写測,2500,9.8KM2,釧路開発建設部,日本測量(株),"55.8.25,55.10.31",584,,郡削除,,
北海道,羽幌町,道路計画,"撮影,写測","8000,,2500","9.5KM2,4.0KM2",留萌開発建設部,パシフィック航業,"55.8.29,55.12.20",586,,地内削除,,
北海道,帯広市,地盤沈下,水準,,24.0km,帯広市,大東測地(株),"55.10.20,55.11.30",587,,,,
北海道,紋別市,森林基本図作成,写測,5000,1467.0KM2,北海道林務部,"大和測量設計,ロイヤル測量設計,北海航測,シン航空,東邦測量,大成測量","55.8.26,56.3.7",605,,「他」削除,,
北海道,雄武町,都市計画,写測,2500,8.9KM2,雄武町,パシフィック航業,"55.9.20,55.10.20",606,,,,
北海道,占冠村,道路台帳,"撮影,写測","8000,,1000","238.3KM2,12.7KM2",占冠村,"国際道測,共同企業体","55.10.1,57.3.30",727,,,,
北海道,,地盤沈下,水準,,95.0km,北海道,大東測地(株),"55.9.30,55.12.20",728,,石狩平野削除,,
北海道,豊富町,草地計画,写測,5000,12.5KM2,留萌開発建設部,東洋航空事業,"55.9.27,56.1.20",,,地区削除,,
北海道,岩見沢市,水路整備,"撮影,撮影,写測,写測","8000,,10000,,1000,,2000","16.0KM2,30.0KM2,1.8KM2,6.2KM2","札幌開発建設部,岩見沢農業事務所",北海航測,"55.10.6,55.12.10",730,,地名修正,,
北海道,足寄町,畜産基地建設事業,"撮影,写測","25000,,5000","206.1KM2,22.7KM2",帯広開発建設部,三和航測,"55.10.27,55.12.20",731,,,,
北海道,斜里町,土地改良,写測,1000,0.5KM2,網走開発建設部,東洋航空事業,"55.10.20,55.11.10",,,,,
北海道,深川市,都市計画,"撮影,撮影,写測","4000,,8000,,1000","13.0KM2,470.0KM2,10.8KM2",深川市,パシフィック航業,"55.10.11,56.6.30",733,,全域削除,,
北海道,本別町,土地改良,写測,5000,10.0KM2,帯広開発建設部,北海航測,"55.10.18,56.1.30",922,,,,
北海道,"大野町,八雲町",鉄道計画,"撮影,写測","4000,,500","8.3KM2,1.9KM2",日本鉄建公団札幌支社,東洋航空事業,"55.11.13,56.2.26",,,,,
北海道,本別町,土地改良,"撮影,写測","20000,,5000","72.0KM2,10.0KM2",帯広開発建設部,北海航測,"55.10.18,56.1.30",924,,,,
北海道,釧路町,管内図作成,"撮影,写測","30000,,10000","273.0KM2,58.0KM2",釧路町,極東陸地測量,"55.10.22,55.11.30",925,,,,
北海道,本別町,道営農地侵食事業計画,写測,5000,7.0KM2,十勝支庁,北海航測,"55.11.15,56.2.10",926,,,,
北海道,清水町,農地開発,写測,5000,8.0KM2,十勝支庁,東邦測量(株),"55.11.15,56.2.10",,,,,
北海道,雄武町,土地改良,写測,5000,6.0KM2,網走開発建設部,日本測量(株),"55.12.8,55.12.20",951,,,,
北海道,足寄町,農用水計画,写測,10000,20.0KM2,十勝支庁,シン航空写真(株),"55.11.15,56.2.10",952,,,,
北海道,本別町,土地改良,写測,10000,25.0KM2,十勝支庁,ロイヤル測量設計,"55.11.15,56.2.10",953,,,,
北海道,陸別町,土地改良,写測,10000,18.0KM2,十勝支庁,ロイヤル測量設計,"55.11.15,56.2.10",954,,,,
北海道,清水町,排水事業計画,写測,5000,3.0KM2,十勝支庁,山下測量(株),"55.11.15,56.2.10",,,,,
北海道,音更町,農地開発,写測,5000,5.0KM2,十勝支庁,平田測量設計(株),"55.11.29,56.3.10",956,,,,
北海道,幌加内町,道路台帳,"撮影,写測","8000,,1000","112.8KM2,13.5KM2",幌加内町,(株)道測調査設計,"56.5.1,58.3.30",1104,,,,
北海道,室蘭市,鉄道計画,"撮影,写測","4000,,500","4.9KM2,0.5KM2","国鉄北海道総局,札幌鉄道管理局",東洋航空事業,"55.12.24,56.3.30",1105,,,,
北海道,上ノ国町,畜産基地建設計画,写測,5000,6.0KM2,函館開発建設部,北海航測,"55.12.26,56.3.20",,,,,
北海道,伊達市,道路計画,"撮影,写測","7000,,1000","40.0KM2,8.4KM2",日本道路公団札幌建設局,パシフィック航業,"56.1.17,56.3.10",1107,,,,
北海道,七飯町,農地開発,写測,5000,15.0KM2,函館開発建設部,シン航空写真(株),"56.1.24,56.3.25",1109,,郡削除,,
北海道,足寄町,畜産基地建設計画,写測,5000,10.0KM2,帯広開発建設部,三和航測,"56.2.19,56.3.25",1162,,郡削除,,
青森県,青森市,地盤沈下,"水準,写測",",,25000","1.5km,3.4KM2",青森県,東北測量(株),"55.5.20,55.6.20",10,,,,
青森県,青森市,地盤沈下,水準,,87.0km,青森市,東北測量(株),"55.5.25,55.6.24",11,,,,
青森県,弘前市,森林調査,撮影,16000,770.0KM2,青森県,東北測量(株),"55.5.6,55.11.30",140,,地区削除6及び削除,,
青森県,青森市,道路台帳,"撮影,写測","4000,,500","1.9KM2,0.6KM2",青森市,パシフィック航業,"55.6.24,55.9.15",,,,,
青森県,青森市,森林調査,写図,5000,90.0KM2,青森県,東北測量(株),"55.5.26,55.7.31",263,,西部削除,,
青森県,板柳町,道路台帳,"撮影,写測","8000,,1000","139.0KM2,8.7KM2",板柳町,国際航業,"55.6.25,56.3.31",264,,全域削除,,
青森県,川内町,道路台帳,写測,1000,2.1KM2,川内町,東北測量(株),"55.6.30,55.12.25",,,,,
青森県,天間林村,道路台帳,"撮影,写測","8000,,1000","120.0KM2,6.0KM2",天間林村,東北測量(株),"55.6.30,56.2.25",479,,,,
青森県,三沢市,道路台帳,"撮影,写測","8000,,1000","120.0KM2,7.4KM2",三沢市,東北測量(株),"55.6.30,56.3.25",480,,,,
青森県,十和田市,道路台帳,"撮影,写測","8000,,1000","280.0KM2,18.5KM2",十和田市,東北測量(株),"55.6.30,56.12.25",481,,,,
青森県,八戸市,地盤沈下,水準,,67.5km,八戸市,興和測量,"55.9.10,55.11.10",506,,地内削除,,
青森県,野辺地町,道路台帳,"撮影,写測","8000,,1000","82.5KM2,5.2KM2",野辺地町,パシフィック航業,"55.9.10,55.12.10",734,,全域削除,,
青森県,平内町,都市計画,"撮影,撮影,写測,写測","12500,,25000,,2500,,10000","16.5KM2,145.7KM2,4.2KM2,52.0KM2",平内町,パシフィック航業,"55.10.13,56.3.5",,,,,
青森県,常盤村,道路台帳,"写測,写測","500,,1000","0.9KM2,2.0KM2",常盤村,東日路政コンサルタント,"55.12.1,56.3.20",,,,,
青森県,青森市,道路台帳,"撮影,写測","4000,,500","21.6KM2,0.3KM2",青森市,パシフィック航業,"55.10.27,56.3.20",,,,,
青森県,,河川計画,写測,2500,28.0KM2,東北地建青森工事事務所,国際航業,"55.10.26,56.2.25",,,川,,
青森県,むつ市,地籍調査,三角,,6point,青森県,新東計測技術コンサルタント,"55.12.1,56.3.20",,,地名修正,,
青森県,八戸市,道路台帳,写測,500,2.8KM2,八戸市,東北測量(株),"55.11.20,56.3.20",,,,,地名修正
岩手県,遠野市,都市計画,"撮影,写測","30000,,10000","33.0KM2,34.0KM2",遠野市,中庭測量,"55.6.1,55.8.5",144,,及び削除,,
岩手県,,河川計画,"撮影,写測","8000,,1000","5.4KM2,1.3KM2",東北地建岩手工事事務所,アジア航測,"55.6.10,55.9.10",,,川,,
岩手県,松尾村,道路台帳,"撮影,写測","8000,,1000","18.0KM2,12.5KM2",松尾村,パシフィック航業,"55.6.27,56.5.30",,,,,
岩手県,宮古市,道路台帳,"撮影,写測,写測","8000,,500,,1000","190.0KM2,4.7KM2,13.8KM2",宮古市,パシフィック航業,"55.9.8,56.3.25",554,,,,
岩手県,盛岡市,道路台帳,写測,500,5.3KM2,盛岡市,パシフィック航業,"55.9.17,56.3.25",,,,,
岩手県,"山田町,岩泉町,田野畑村,普代村",森林調査,撮影,16000,2.3KM2,岩手県,(株)八州,"55.8.7,55.11.30",589,,地区削除,,郡展開
岩手県,和賀町,ダム計画,"撮影,写測","8000,,2000","30.0KM2,6.0KM2",岩手県入畑ダム建設事務所,国際航業,"55.10.17,56.1.5",738,,地名修正,,
岩手県,一戸町,水源施設計画,"撮影,撮影,写測,写測","4000,,12500,,500,,2500","12.4KM2,59.5KM2,0.2KM2,2.5KM2",東北農政局北上地域総合開発調査事務所,東洋航空事業,"55.10.13,56.1.10",764,,測量地域修正,,
岩手県,岩手町,道路台帳,"撮影,写測","8000,,1000","360.9KM2,22.5KM2",岩手町,アジア航測,"55.6.30,58.3.31",825,,全域削除,,
岩手県,江刺市,道路台帳,"撮影,写測","8000,,1000","430.0KM2,32.5KM2",江刺市,東洋航空事業,"55.11.12,58.3.30",826,,地内削除,,
岩手県,西根町,道路台帳,"撮影,撮影,写測,写測","8000,,25000,,1000,,10000","261.5KM2,413.7KM2,12.5KM2,52.0KM2",西根町,パシフィック航業,"55.11.29,57.6.25",880,,全域削除,,
岩手県,湯田町,道路台帳,"撮影,写測","8000,,1000","136.9KM2,69.0KM2",湯田町,東洋航空事業,"55.8.7,58.3.31",963,,全域削除,,
岩手県,前沢町,総合計画,"撮影,写測,写測","12500,,2500,,5000","27.6KM2,18.3KM2,72.7KM2",前沢町,第一航業,"55.12.1,56.3.31",966,,全域削除,,
岩手県,大迫町,道路台帳,"撮影,写測","8000,,1000","28.3KM2,3.5KM2",大迫町,パシフィック航業,"55.12.25,56.3.25",1054,,地内削除,,
岩手県,種市町,道路台帳,"撮影,写測","8000,,1000","200.0KM2,1.0KM2",種市町,パシフィック航業,"56.1.27,56.3.25",1056,,,,
岩手県,盛岡市,都市計画,写測,500,0.7KM2,盛岡市,アジア航測,"56.1.16,56.3.25",,,,,
岩手県,川井村,道路台帳,"撮影,写測","8000,,1000","230.0KM2,6.0KM2",川井村,北海航測,"56.3.1,57.3.31",1110,,,,
岩手県,盛岡市,河川計画,平板,500,0.1KM2,東北地建岩手工事事務所,(株)吉田測量設計,"56.2.10,56.3.25",,,,,
宮城県,涌谷町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","20.0KM2,82.1KM2,2.5KM2,10.5KM2",涌谷町,東日本航空,"55.3.15,56.12.25",69,,全域削除,,
宮城県,川崎町,管理図作製,"撮影,写測","12500,,2500","71.2KM2,28.4KM2",東北地建釜房ダム管理事務所,アジア航測,"55.5.10,55.8.25",122,,ダム→町,,
宮城県,七ケ浜町,道路台帳,平板,500,13.0KM2,七ヶ浜町,富士測量,"55.6.1,56.3.20",,,全域削除,,地名修正
宮城県,白石市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","10.0KM2,600.0KM2,7.0KM2,20.0KM2",白石市,アジア航測,"55.6.12,56.3.31",240,,"全域削除,地名修正",,
宮城県,"仙台市,塩竈市,多賀城市,名取市,岩沼市,利府町,古川市",地盤沈下,水準,,209.0km,宮城県,東洋航空事業,"55.8.11,56.3.31",377,,,,地名修正
宮城県,石巻市,道路台帳,"撮影,写測","4000,,500","13.4KM2,5.8KM2",石巻市,国際航業,"55.7.31,56.3.31",485,,地名修正,,
宮城県,中田町,ほ場整備,"撮影,写測,写測","8000,,1000,,2000","20.5KM2,7.0KM2,7.0KM2",中田町,東洋航空事業,"55.9.1,55.11.30",508,,,,
宮城県,石巻市,都市計画,"撮影,写測","12500,,2500","9.3KM2,7.2KM2",石巻市,国際航業,"55.9.20,55.10.30",612,,地内削除,,
宮城県,七ケ浜町,用地造成,"撮影,写測","8000,,1000","30.0KM2,0.3KM2",宮城県公営企業管理者,パシフィック航業,"55.10.5,55.10.31",656,,"地区削除,地名修正",,地名修正
宮城県,利府町,道路台帳,"撮影,写測","4000,,500","86.8KM2,22.8KM2",利府町,(社)宮城県建設センター,"55.10.1,56.2.10",678,,地内削除,,
宮城県,仙台市,道路計画,"撮影,写測","8000,,1000","76.5KM2,10.1KM2",仙台市,アジア航測,"55.10.30,56.1.20",735,,,,
宮城県,亘理町,道路台帳,"撮影,写測","4000,,500","72.0KM2,21.0KM2",亘理町,パシフィック航業,"55.11.20,57.3.10",833,,全域削除,,
宮城県,米山町,道路台帳,"撮影,撮影","4000,,8000","65.1KM2,80.6KM2",米山町,国際航業,"56.1.16,56.3.31",964,,全域削除,,
宮城県,"松島町,仙台市",鉄道計画,"写測,写測","500,,1000","0.2KM2,0.7KM2",日本国有鉄道仙台新幹線工事局,"国際航業,東洋航空事業","55.12.23,56.3.31",,,,,地名修正，長町はS3仙台市に
宮城県,鹿島台町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","15.7KM2,90.5KM2,1.5KM2,5.1KM2",鹿島台町,国際航業,"55.12.25,58.3.20",1023,,,,
宮城県,仙台市,都市計画,写測,1000,6.0KM2,仙台市,パシフィック航業,"56.2.4,56.3.25",,,"地区削除,西部削除",,
宮城県,村田町,道路計画,写測,2500,1.3KM2,宮城県大河原土木事務所,アジア航測,"56.3.5,56.3.25",,,,,
宮城県,川崎町,都市計画,"編集,写測修正","2500,,2500","29.0KM2,67.0KM2",川崎町,アジア航測,"56.3.15,56.5.10",1217,編集区別,,,
秋田県,大曲市,道路台帳,"撮影,写測,写測","8000,,500,,1000","104.9KM2,1.7KM2,16.9KM2",大曲市,"(株)八州,写測,東邦技術,測量共同企業体","55.3.25,57.12.20",38,,全域削除,,
秋田県,"北秋田市,大館市",森林調査,撮影,16000,1142.0KM2,秋田県,東北測量(株),"55.5.1,55.7.31",142,,"地内削除,地名修正",,
秋田県,八竜町,ほ場整備,"撮影,写測","8000,,1000","9.4KM2,1.5KM2",八竜町,東洋航空事業,"55.4.19,55.7.31",,,,,
秋田県,雄和町,道路台帳,写測,1000,4.2KM2,雄和町,パシフィック航業,"55.7.21,55.11.30",,,,,
秋田県,鹿角市,都市計画,"撮影,撮影,写測,写測","10000,,30000,,2500,,10000","14.0KM2,1070.0KM2,169.1KM2,707.1KM2",鹿角市,国際航業,"55.7.19,56.6.30",477,,,,
秋田県,小坂町,都市計画,"撮影,撮影,写測,写測","10000,,30000,,2500,,10000","20.0KM2,132.0KM2,57.4KM2,80.2KM2",小坂町,"東洋航空事業,国際航業","55.7.11,55.12.29",482,,地内削除,,
秋田県,二ツ井町,都市計画,写測,2500,4.5KM2,二ッ井町,国際航業,"55.7.25,55.9.30",,,,,地名修正
秋田県,湯沢市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","25.2KM2,123.8KM2,6.0KM2,29.1KM2",湯沢市,国際航業,"55.7.28,57.6.30",507,,全域削除,,
秋田県,西目町,道路台帳,写測,1000,2.8KM2,西目町,写測,"55.9.16,56.2.28",,,,,
秋田県,小坂町,都市計画,"写測,写測","2500,,10000","6.2KM2,23.0KM2",小坂町,東洋航空事業,"55.7.11,55.12.29",679,,地内削除,,
秋田県,矢島町,都市計画,"撮影,撮影,写測,写測,写測","8000,,30000,,1000,,2500,,10000","124.7KM2,124.7KM2,12.3KM2,11.0KM2,30.0KM2",矢島町,(株)八州,"55.9.20,57.3.20",739,,,,
秋田県,平鹿町,農村総合整備,"撮影,写測","20000,,5000","80.0KM2,27.0KM2",平鹿町,パシフィック航業,"55.10.27,55.12.25",741,,全域削除,,
秋田県,横手市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","15.0KM2,130.0KM2,7.1KM2,13.5KM2",横手市,国際航業,"55.9.25,57.12.25",761,,,,
秋田県,能代市,総合計画,"撮影,写測","8000,,1000","7.2KM2,0.4KM2",能代市,(株)八州,"55.10.17,55.12.28",762,,地名修正,,
秋田県,雄和町,河川改修,写測,2500,3.3KM2,東北地建秋田工事事務所,パシフィック航業,"55.10.16,56.2.28",,,郡削除,,
秋田県,五城目町,都市計画,"撮影,写測,写測","12500,,2500,,10000","41.6KM2,20.0KM2,20.0KM2",五城目町,中庭測量,"55.10.15,56.1.20",766,,,,
秋田県,"協和町,西仙北町",写真地図,"撮影,写図","16000,,5000","183.8KM2,183.8KM2",秋田県,東北測量(株),"55.10.1,56.2.20",823,,郡削除,,
秋田県,"協和町,西仙北町",写真地図,"撮影,写図","16000,,5000","240.0KM2,240.0KM2",秋田県,東日本航空,"55.10.1,56.2.20",824,,郡削除,,
秋田県,秋田市,道路計画,写測,500,0.2KM2,東北地建秋田工事事務所,国際航業,"55.10.22,56.1.31",,,地名修正,,
秋田県,秋田市,土地区画整理事業,平板,500,0.8KM2,秋田市,中庭測量,"55.10.31,56.3.25",,,地名修正,,
秋田県,大館市,都市計画,"写測,写測","1000,,2500","1.0KM2,248.7KM2",大館市,(株)八州,"55.10.1,56.3.20",965,,,,
秋田県,西仙北町,農村総合整備,写測,5000,167.1KM2,西仙北町,パシフィック航業,"56.1.20,56.4.20",1111,,全域削除,,
山形県,鮭川村,道路台帳,"撮影,写測","8000,,1000","575.0KM2,60.0KM2",鮭川村,東日本航空,"54.7.1,55.6.30",87,,,,
山形県,真室川町,道路台帳,"撮影,写測","8000,,1000","263.5KM2,7.7KM2",真室川町,東日本航空,"55.7.1,56.7.31",139,,,,
山形県,温海町,道路台帳,"撮影,写測","8000,,1000","255.0KM2,4.3KM2",温海町,パシフィック航業,"55.5.1,56.3.31",141,,,,
