都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,,2018.01.14修正
北海道,"蘭越町,",土地改良,基準点,３級,29point,助言H22.6.30A0086北海道後志総合振興局,(株)香島コンサルタント,"H22.6.22
H23.3.10",,
北海道,"北見市,",河川管理,"基準点,基準点","１級,,３級","2point,3point",助言H22.7.5A0088北海道オホーツク総合振興局,(株)山腰測量設計事務所,"H22.6.9
H22.9.30",,
北海道,"旭川市,",河川管理,基準点,３級,3point,助言H22.7.5A0089旭川開発建設部,大成測量設計(株),"H22.6.25
H22.8.9",,
北海道,"遠別町,",道路計画,基準点,１級,1point,助言H22.7.5A0091北海道留萌振興局,北海道土木設計(株),"H22.6.25
H22.7.31",,
北海道,"士別市,",河川管理,"基準点,基準点","２級,,３級","2point,1point",助言H22.7.5A0093旭川開発建設部,(株)協和コンサルタント,"H22.6.26
H22.10.7",,
北海道,"剣淵町,",道路用地,基準点,３級,1point,助言H22.7.5A0095剣淵町,旭川設計測量(株),"H22.6.15
H22.9.30",,
北海道,"天塩町,",道路台帳,"基準点,基準点","１級,,３級","1point,5point",助言H22.7.5A0096留萌開発建設部,小杉測量設計(株),"H22.6.3
H22.9.30",,
北海道,"清里町,",道路計画,"基準点,基準点","１級,,３級","2point,3point",助言H22.7.5A0099北海道オホーツク総合振興局,サン技術コンサルタント(株),"H22.6.29
H23.1.31",,
北海道,"羅臼町,",海岸保全,"基準点,基準点","１級,,３級","2point,1point",助言H22.7.5A0100北海道釧路総合振興局,(株)帝国設計事務所,"H22.7.1
H22.7.31",,
北海道,"愛別町,",道路用地,"基準点,基準点","１級,,３級","2point,2point",助言H22.7.5A0101北海道上川総合振興局,三共測量コンサルタント(株),"H22.6.29
H22.11.10",,
北海道,"足寄町,",砂防計画,"基準点,基準点","２級,,３級","3point,2point",助言H22.7.5A0102北海道十勝総合振興局,(株)シン技術コンサル,"H22.6.23
H22.11.30",,
北海道,"京極町,",土地改良,基準点,３級,8point,助言H22.7.5A0104北海道後志総合振興局,(株)帝国設計事務所,"H22.7.1
H23.2.10",,
北海道,"厚真町,",土地改良,"基準点,基準点","３級,,４級","66point,179point",助言H22.7.5A0105北海道胆振総合振興局,(株)伊藤測量事務所,"H22.6.30
H23.3.18",,
北海道,"千歳市,",道路用地,基準点,３級,1point,助言H22.7.5A0106千歳市,(株)シン技術コンサル,"H22.6.30
H22.8.31",,
北海道,"中札内村,",道路計画,"基準点,基準点","１級,,３級","2point,4point",助言H22.7.5A0108北海道十勝総合振興局,平田技術コンサルタント(株),"H22.6.30
H22.8.30",,
北海道,"余市町,",河川計画,"基準点,基準点","１級,,３級","3point,9point",助言H22.7.7A0113北海道後志総合振興局,北山測量設計(株),"H22.7.8
H22.10.20",,
北海道,"厚岸町,",道路用地,"基準点,基準点","１級,,３級","2point,3point",助言H22.7.12A0117北海道釧路総合振興局,(有)サノ測量設計社,"H22.7.3
H22.10.20",,
北海道,"上ノ国町,",道路計画,基準点,３級,10point,助言H22.7.12A0118北海道渡島総合振興局,(株)開発調査研究所,"H22.7.3
H23.1.28",,
北海道,"北見市,",道路計画,"基準点,基準点","１級,,３級","1point,2point",助言H22.7.14A0120北海道オホーツク総合振興局,北海道土木設計(株),"H22.7.12
H23.3.22",,
北海道,"更別村,",道路計画,"基準点,基準点","３級,,４級","4point,13point",助言H22.7.14A0133北海道十勝総合振興局,(株)シー・イー・サービス,"H22.7.6
H22.8.31",,
北海道,"美深町,",河川管理,"基準点,基準点","２級,,３級","4point,1point",助言H22.7.14A0134旭川開発建設部,(株)アサヒ建設コンサルタン,"H22.7.8
H22.10.4",,
北海道,"鷹栖町,",道路計画,基準点,３級,2point,助言H22.7.14A0135鷹栖町,(株)構研エンジニアリング,"H22.6.23
H22.10.29",,
北海道,"利尻町,",道路計画,基準点,２級,1point,助言H22.7.14A0136北海道宗谷総合振興局,(株)アイネス,"H22.7.5
H23.3.22",,
北海道,"紋別市,",河川用地,基準点,３級,4point,助言H22.7.14A0138北海道オホーツク総合振興局,北海設計(株),"H22.7.9
H22.12.20",,
北海道,"別海町,",道路用地,"基準点,基準点","１級,,３級","1point,3point",助言H22.7.14A0140北海道釧路総合振興局,(株)東亜エンジニアリング   ,"H22.7.12
H22.8.31",,
北海道,"根室市,",道路計画,"基準点,基準点,路線","２級,,４級,,","8point,190point,11.5km",助言H22.7.14A0141釧路開発建設部,(株)アラソフトウェア,"H22.7.12
H22.7.12",,
北海道,"札幌市,",砂防計画,基準点,３級,2point,助言H22.7.14A0142北海道空知総合振興局,国土防災技術北海道(株),"H22.7.26
H23.1.31",,
北海道,"名寄市,",土地改良,基準点,２級,1point,助言H22.7.16A0124北海道上川総合振興局,(有)テーシーコンサル,"H22.7.6
H22.8.13",,
北海道,"滝川市,",土地改良,"基準点,路線","３級,,","5point,4.9km",助言H22.7.16A0125北海道空知総合振興局,(株)ルーラルエンジニア,"H22.7.6
H23.3.10",,
北海道,"滝川市,",土地改良,"基準点,路線","３級,,","1point,0.8km",助言H22.7.16A0126北海道空知総合振興局,ダイシン設計(株),"H22.7.6
H23.1.20",,
北海道,"寿都町,",河川計画,基準点,３級,3point,助言H22.7.16A0127北海道後志総合振興局,(株)開発調査研究所,"H22.7.6
H23.3.22",,
北海道,"蘭越町,",土地改良,基準点,３級,13point,助言H22.7.16A0128北海道後志総合振興局,"(株)北海道農業建設コンサ
ルタント","H22.7.7
H22.10.30",,
北海道,"七飯町,",砂防計画,基準点,３級,2point,助言H22.7.16A0129北海道渡島総合振興局,北海道キング設計(株),"H22.7.7
H23.2.18",,
北海道,"剣淵町,",道路計画,基準点,３級,2point,助言H22.7.16A0130北海道上川総合振興局,旭川設計測量(株),"H22.7.7
H22.11.30",,
北海道,"富良野市,",砂防計画,"基準点,基準点","１級,,３級","3point,6point",助言H22.7.16A0131北海道上川総合振興局,パブリックコンサルタント(株),"H22.7.7
H22.9.30",,
北海道,"鶴居村,",河川用地,基準点,３級,3point,助言H22.7.16A0132北海道釧路総合振興局,小林技術コンサルタント(株),"H22.6.30
H22.10.20",,
北海道,"七飯町,",道路用地,"基準点,基準点","１級,,３級","2point,2point",助言H22.7.16A0143北海道渡島総合振興局,(株)薄田測量設計事務所,"H22.7.10
H22.11.1",,
北海道,"中富良野町,",道路計画,"基準点,基準点","２級,,３級","1point,4point",助言H22.7.16A0144北海道上川総合振興局,(株)ドーコン,"H22.7.10
H23.3.22",,
北海道,"奈井江町,",道路用地,"基準点,基準点","１級,,３級","2point,1point",助言H22.7.16A0145北海道空知総合振興局,明治コンサルタント(株),"H22.7.10
H22.10.29",,
北海道,"共和町,",道路計画,"基準点,基準点","１級,,３級","1point,5point",助言H22.7.16A0146共和町,パブリックコンサルタント(株),"H22.7.10
H22.11.30",,
北海道,"余市町,",道路用地,"基準点,基準点","１級,,２級","2point,1point",助言H22.7.16A0148小樽開発建設部,スミセキ・ジオテクノ(株),"H22.6.23
H22.9.30",,
北海道,"安平町,",河川計画,数値図化,2500,10.8KM2,助言H22.7.16A0149北海道胆振総合振興局,(株)シン技術コンサル,"H22.7.13
H22.12.10",,
北海道,"余市町,",土地区画整理,基準点,３級,1point,助言H22.7.16A0152余市町黒川第一土地区画整理組合,(有)大野測量,"H22.7.13
H22.8.31",,
北海道,"大空町,",河川計画,基準点,３級,3point,助言H22.7.23A0154北海道オホーツク総合振興局,バーム測量設計(株),"H22.7.20
H22.12.20",,
北海道,"標茶町,",道路計画,基準点,３級,8point,助言H22.7.23A0155北海道釧路総合振興局,ダイシン設計(株),"H22.7.14
H22.10.20",,
北海道,"釧路市,",河川計画,基準点,３級,5point,助言H22.7.23A0156北海道釧路総合振興局,(有)渋谷測量社,"H22.7.13
H22.10.20",,
北海道,"津別町,",道路計画,"基準点,基準点","１級,,３級","1point,9point",助言H22.7.23A0158北海道オホーツク総合振興局,(株)巴設計,"H22.7.26
H22.10.30",,
北海道,"別海町,中標津町,",農道計画,基準点,３級,16point,助言H22.7.23A0160北海道根室振興局,小林技術コンサルタント(株),"H22.7.1
H23.3.18",,
北海道,"上川町,",道路計画,"基準点,基準点","２級,,３級","1point,3point",助言H22.7.23A0161上川町,(有)美成測地サービス,"H22.7.10
H22.8.5",,
北海道,"釧路市,",河川用地,基準点,３級,6point,助言H22.7.23A0163北海道釧路総合振興局,(株)津村測量設計,"H22.7.16
H22.10.20",,
北海道,"恵庭市,",河川用地,基準点,３級,7point,助言H22.7.23A0164北海道空知総合振興局,三和開発サービス(株),"H22.7.16
H22.10.20",,
北海道,"浜中町,",道路台帳,"基準点,基準点","１級,,３級","1point,1point",助言H22.7.23A0165釧路開発建設部,東邦コンサルタント(株),"H22.7.17
H22.10.25",,
北海道,"喜茂別町,",道路管理,基準点,３級,2point,助言H22.7.23A0166小樽開発建設部,大東測地(株),"H22.7.16
H22.11.20",,
北海道,"標茶町,",道路用地,基準点,２級,4point,助言H22.7.28A0167標茶町,東邦コンサルタント(株),"H22.7.8
H22.12.20",,
北海道,"札幌市,",河川管理,基準点,３級,1point,助言H22.7.28A0169札幌開発建設部,"ユニオンデーターシステム
(株)","H22.7.17
H22.9.22",,
北海道,"京極町,",土地改良,基準点,３級,7point,助言H22.7.29A0170北海道後志総合振興局,(株)アース設計事務所,"H22.7.28
H23.3.10",,
北海道,"岩見沢市,",道路計画,"基準点,基準点","１級,,３級","1point,6point",助言H22.7.29A0171北海道空知総合振興局,ダイシン設計(株),"H22.7.23
H22.10.20",,
北海道,"黒松内町,",河川計画,基準点,１級,2point,助言H22.7.29A0173北海道後志総合振興局,HRS(株),"H22.7.21
H22.11.10",,
北海道,"根室市,",海岸保全,基準点,３級,2point,助言H22.7.29A0174北海道釧路総合振興局,共和コンサルタント(株),"H22.7.12
H22.8.30",,
北海道,"標津町,",道路管理,基準点,３級,2point,助言H22.7.29A0175釧路開発建設部,小林技術コンサルタント(株),"H22.7.22
H22.12.2",,
北海道,"函館市,",海岸保全,"基準点,基準点","１級,,３級","2point,1point",助言H22.7.29A0176北海道渡島総合振興局,(株)ツカサ技研,"H22.7.23
H22.11.1",,
北海道,"むかわ町,",道路用地,"基準点,基準点","１級,,２級","1point,1point",助言H22.7.29A0177北海道胆振総合振興局,シバタ技術コンサルタンツ,"H22.7.26
H22.10.20",,
北海道,"厚沢部町,",河川計画,"基準点,基準点","２級,,３級","5point,8point",助言H22.7.29A0178北海道渡島総合振興局,パブリックコンサルタント(株),"H22.7.23
H22.11.30",,
北海道,"厚沢部町,",河川計画,基準点,３級,5point,助言H22.7.29A0179北海道渡島総合振興局,和光技研(株),"H22.6.14
H22.11.30",,
北海道,"神恵内村,",河川計画,基準点,２級,2point,助言H22.7.29A0180北海道後志総合振興局,(有)柴崎測量,"H22.8.2
H22.10.29",,
北海道,"厚岸町,",道路防災,基準点,３級,4point,助言H22.8.3A0181北海道釧路総合振興局,(株)松木測量設計,"H22.7.23
H22.11.10",,
北海道,"仁木町,",道路台帳,基準点,３級,4point,助言H22.8.3A0182小樽開発建設部,HRS(株),"H22.8.2
H22.11.15",,
北海道,"北見市,",河川計画,基準点,１級,1point,助言H22.8.6A0184北海道オホーツク総合振興局,大起コンサルタント(株),"H22.6.23
H22.11.30",,
北海道,"別海町,",道路用地,基準点,３級,2point,助言H22.8.6A0185北海道釧路総合振興局,(株)イズム・グリーン,"H22.7.24
H22.10.20   ",,
北海道,"幌加内町,",土地改良,基準点,３級,9point,助言H22.8.6A0186北海道空知総合振興局,やまざきコンサルタント(株),"H22.7.27
H22.11.30",,
北海道,"根室市,",道路用地,"基準点,基準点","２級,,３級","1point,3point",助言H22.8.6A0188北海道釧路総合振興局,(株)アイネス,"H22.6.16
H22.11.10",,
北海道,"仁木町,",河川計画,基準点,３級,4point,助言H22.8.6A0189北海道後志総合振興局,(有)大野測量,"H22.7.28
H22.12.20",,
北海道,"乙部町,",河川管理,"基準点,基準点","１級,,３級","6point,7point",助言H22.8.6A0190北海道渡島総合振興局,協友測量設計(株),"H22.7.28
H22.11.10",,
北海道,"江差町,",河川防災,"基準点,基準点","２級,,３級","1point,2point",助言H22.8.6A0191北海道渡島総合振興局,(株)東鵬開発,"H22.7.28
H22.11.1",,
北海道,"帯広市,",砂防計画,"基準点,基準点","１級,,３級","2point,4point",助言H22.8.6A0192北海道十勝総合振興局,(株)開発調査研究所,"H22.7.29
H23.2.10",,
北海道,"別海町,標津町,",道路計画,"基準点,基準点","１級,,３級","4point,10point",助言H22.8.6A0195北海道釧路総合振興局,和光技研(株),"H22.7.29
H22.11.22",,
北海道,"標茶町,",農道計画,"基準点,基準点","２級,,３級","1point,1point",助言H22.8.6A0197標茶町,(株)幸坂測量設計,"H22.7.31
H22.9.30",,
北海道,"厚真町,",土地改良,"基準点,基準点","１級,,２級","4point,21point",助言H22.8.10A0198北海道胆振総合振興局,沼田測量設計(株),"H22.7.30
H22.12.10",,
北海道,"占冠村,",道路管理,基準点,２級,3point,助言H22.8.10A0201旭川開発建設部,(株)富士建設コンサル,"H22.8.16
H22.11.16",,
北海道,"積丹町,",道路用地,基準点,３級,4point,助言H22.8.10A0202小樽開発建設部,大開技術コンサルタント(株),"H22.7.20
H22.10.12",,
北海道,"共和町,",土地改良,"基準点,基準点","１級,,３級","3point,16point",助言H22.8.11A0217北海道後志総合振興局,(株)東亜エンジニアリング,"H22.8.10
H23.3.10",,
北海道,"札幌市,",砂防計画,基準点,１級,1point,助言H22.8.11A0218北海道空知総合振興局,日測技研(株),"H22.8.7
H22.11.10",,
北海道,"上川町,",砂防計画,基準点,２級,2point,助言H22.8.11A0219旭川開発建設部,(株)フジ土木設計,"H22.8.16
H22.10.18",,
北海道,"滝川市,",ほ場整備,"基準点,路線","３級,,","11point,1.8km",助言H22.8.11A0220北海道空知総合振興局,(株)帝国設計事務所,"H22.8.7
H23.3.10",,
北海道,"帯広市,新得町,士幌町,本別町,池田町,小清水町,芽室町,中札内村,豊頃町,浦幌町,",河川計画,"カラー撮影,水準","12500,,簡級","1091KM2,444km",助言H22.8.6A0194帯広開発建設部,(株)タナカコンサルタント,"H22.8.2
H22.12.1",,
北海道,"利尻富士町,",砂防計画,"数値撮影,空三","地上画素寸法18cm,,","16.2KM2,93M",助言H22.8.16A0204北海道宗谷総合振興局,(株)シン技術コンサル,"H22.8.16
H22.12.20",,
北海道,"知内町,",砂防計画,"数値撮影,数値図化,数値図化","地上画素寸法15cm,,1000,,1000","6.2KM2,0.5KM2,0.6KM2",助言H22.8.16A0203北海道渡島総合振興局,"(株)シン技術コンサル
協友測量設計(株)","H22.8.16
H23.2.10",,
北海道,"喜茂別町,",地すべり対,"航空レーザ,数値撮影,数値図化,空三","1000,,地上画素寸法12cm,,1000,,","1KM2,1KM2,1KM2,50model,",助言H22.8.16A0213北海道後志総合振興局,北海航測(株),"H22.8.16
H22.12.20",,
北海道,"砂川市,滝川市,美唄市,奈井江町,妹背牛町,雨竜町,新十津川町,浦臼町,月形町,",河川計画,数値撮影,地上画素寸法25cm,128.3KM2,助言H22.8.17A0223札幌開発建設部,(株)シン技術コンサル,"H22.8.16
H23.2.10",,
北海道,"上富良野町,",砂防計画,"基準点,撮影,数値図化","２級,,10000,,1000","3point,45.2KM2,2KM2",助言H22.8.11A0208北海道上川総合振興局,(株)イズム・グリーン,"H22.8.5
H22.11.30",,
北海道,"標茶町,",道路用地,基準点,３級,2point,助言H22.8.11A0209北海道釧路総合振興局,(株)日東測量設計社,"H22.8.5
H22.11.10",,
北海道,"厚岸町,",道路計画,基準点,３級,4point,助言H22.8.16A0210厚岸町,ダイシン設計(株),"H22.8.5
H22.10.2",,
北海道,"遠軽町,",河川用地,"基準点,基準点","１級,,３級","2point,3point",助言H22.8.16A0211北海道オホーツク総合振興局,益村測量設計(株),"H22.7.28
H22.12.20",,
北海道,"遠軽町,",道路管理,基準点,３級,4point,助言H22.8.16A0214北海道オホーツク総合振興局,(株)カワムラ,"H22.6.9
H22.9.30",,
北海道,"滝川市,",ほ場整備,"基準点,路線","３級,,","12point,2.2km",助言H22.8.16A0215北海道空知総合振興局,(株)ルーラルエンジニア,"H22.8.6
H23.3.10",,
北海道,"釧路市,",基準点管理,基準点,３級,1point,助言H22.8.16A0216釧路市,(有)増谷測量設計,"H22.8.6
H22.11.15",,
北海道,"北斗市,",土地改良,基準点,３級,35point,助言H22.8.16A0222北海道渡島総合振興局,北海航測(株),"H22.8.10
H23.3.10",,
北海道,"清里町,",道路計画,"基準点,路線","３級,,","4point,0.9km",助言H22.8.16A0225北海道オホーツク総合振興局,益村測量設計(株),"H22.8.17
H23.3.22",,
北海道,"別海町,",道路計画,基準点,３級,3point,助言H22.8.20A0227北海道釧路総合振興局,小林技術コンサルタント(株),"H22.7.28
H23.1.20",,
北海道,"根室市,",道路用地,"基準点,基準点","１級,,３級","1point,1point",助言H22.8.20A0228北海道釧路総合振興局,(有)高橋測量事務所,"H22.8.10
H22.11.30",,
北海道,"知内町,",砂防計画,"基準点,基準点","１級,,３級","4point,10point",助言H22.8.20A0229北海道渡島総合振興局,"協友測量設計(株)
(株)シン技術コンサル","H22.8.6
H23.2.10",,
北海道,"安平町,",道路計画,"基準点,基準点","１級,,３級","2point,2point",助言H22.8.20A0231安平町,(株)タナカコンサルタント,"H22.8.10
H22.10.29",,
